metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_company_cn_002837_invic_total_revenue_20251231_0880d1,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,total_revenue,income_statement,20251231,annual,6067759091.55,CNY,CNY,6067759091.55,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_net_profit_attributable_20251231_73d111,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,net_profit_attributable,income_statement,20251231,annual,521914773.0,CNY,CNY,521914773.0,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_basic_eps_20251231_59851a,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,basic_eps,income_statement,20251231,annual,0.54,CNY/share,CNY,0.54,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_gross_margin_20251231_d6a50d,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,gross_margin,financial_indicator,20251231,annual,27.8626,%,,27.8626,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_net_profit_margin_20251231_f0977c,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,net_profit_margin,financial_indicator,20251231,annual,8.9437,%,,8.9437,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_roe_dt_20251231_556ccc,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,roe_dt,financial_indicator,20251231,annual,15.8358,%,,15.8358,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_operating_cash_flow_per_share_20251231_888e14,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,operating_cash_flow_per_share,financial_indicator,20251231,annual,0.161,CNY/share,CNY,0.161,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_debt_to_assets_20251231_ff6ca6,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,debt_to_assets,financial_indicator,20251231,annual,55.3038,%,,55.3038,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_net_operating_cash_flow_20251231_4e6c0a,market_data_tushare_cashflow_selected_stocks_20260701_d5b6c1,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,net_operating_cash_flow,cash_flow,20251231,annual,157273222.36,CNY,CNY,157273222.36,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_inventories_20251231_a33680,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,inventories,balance_sheet,20251231,annual,983397026.13,CNY,CNY,983397026.13,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_accounts_receivable_20251231_a1c324,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,accounts_receivable,balance_sheet,20251231,annual,3053959547.65,CNY,CNY,3053959547.65,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_total_revenue_20260331_a4342d,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,total_revenue,income_statement,20260331,quarterly,1175329313.61,CNY,CNY,1175329313.61,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_net_profit_attributable_20260331_dba127,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,net_profit_attributable,income_statement,20260331,quarterly,8657602.27,CNY,CNY,8657602.27,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_basic_eps_20260331_58d830,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,basic_eps,income_statement,20260331,quarterly,0.01,CNY/share,CNY,0.01,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_gross_margin_20260331_273f9a,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,gross_margin,financial_indicator,20260331,quarterly,24.2935,%,,24.2935,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_net_profit_margin_20260331_b5c7bd,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,net_profit_margin,financial_indicator,20260331,quarterly,1.2049,%,,1.2049,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
