metric_id,entity_type,entity_id,metric_name,period,value,unit,source_evidence_id,calculation_method,is_estimate,confidence,created_at,status,review_status,notes
metric_company_cn_002837_invic_total_revenue_20251231_0880d1,company,cn_002837_invic,total_revenue,20251231,6067759091.55,CNY,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_net_profit_attributable_20251231_73d111,company,cn_002837_invic,net_profit_attributable,20251231,521914773.0,CNY,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_basic_eps_20251231_59851a,company,cn_002837_invic,basic_eps,20251231,0.54,CNY/share,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_gross_margin_20251231_d6a50d,company,cn_002837_invic,gross_margin,20251231,27.8626,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_net_profit_margin_20251231_f0977c,company,cn_002837_invic,net_profit_margin,20251231,8.9437,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_roe_dt_20251231_556ccc,company,cn_002837_invic,roe_dt,20251231,15.8358,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_operating_cash_flow_per_share_20251231_888e14,company,cn_002837_invic,operating_cash_flow_per_share,20251231,0.161,CNY/share,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_debt_to_assets_20251231_ff6ca6,company,cn_002837_invic,debt_to_assets,20251231,55.3038,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_net_operating_cash_flow_20251231_4e6c0a,company,cn_002837_invic,net_operating_cash_flow,20251231,157273222.36,CNY,market_data_tushare_cashflow_selected_stocks_20260701_d5b6c1,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_inventories_20251231_a33680,company,cn_002837_invic,inventories,20251231,983397026.13,CNY,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,active,reviewed_p1_metric_scope,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
