adjustment_policy,amount,close,high,low,ma10,ma20,ma5,open,stock_code,trade_date,volume
source_reported_unknown,4426359014.00,66.06,70.59,65.66,76.06,76.83,71.89,68.51,002837,2026-06-01,65340955
source_reported_unknown,3423665588.00,67.49,68.00,64.40,74.95,76.57,70.25,66.30,002837,2026-06-02,51480891
source_reported_unknown,4494953456.00,68.32,70.92,67.28,73.45,76.24,69.32,67.50,002837,2026-06-03,65287085
source_reported_unknown,3274875733.00,69.22,69.89,67.18,72.66,75.76,68.19,67.49,002837,2026-06-04,47532052
source_reported_unknown,3137961310.00,65.90,68.60,65.58,71.19,75.13,67.40,68.60,002837,2026-06-05,46884988
source_reported_unknown,2571262498.00,63.38,65.80,62.20,69.38,74.37,66.86,62.40,002837,2026-06-08,40250880
source_reported_unknown,4600037503.00,69.72,69.72,63.55,68.78,74.02,67.31,64.00,002837,2026-06-09,67823192
source_reported_unknown,5059960533.00,68.90,72.69,68.25,68.37,73.38,67.42,70.88,002837,2026-06-10,71581610
source_reported_unknown,2597139351.00,67.14,69.50,66.21,67.60,72.81,67.01,68.90,002837,2026-06-11,38601892
source_reported_unknown,4102450246.00,66.08,70.00,66.08,67.22,72.26,67.04,68.50,002837,2026-06-12,59717907
source_reported_unknown,3748836696.00,70.53,70.68,66.27,67.67,71.87,68.47,67.30,002837,2026-06-15,54168628
source_reported_unknown,5180308880.00,73.19,75.14,70.41,68.24,71.59,69.17,70.56,002837,2026-06-16,70686505
source_reported_unknown,4162255100.00,74.62,75.48,72.00,68.87,71.16,70.31,72.00,002837,2026-06-17,56203139
source_reported_unknown,4124748064.00,74.37,76.13,73.54,69.38,71.02,71.76,75.03,002837,2026-06-18,55363608
source_reported_unknown,6527271978.00,77.30,77.50,72.80,70.52,70.86,74.00,74.55,002837,2026-06-22,86194813
source_reported_unknown,11188878304.00,81.48,85.03,79.00,72.33,70.86,76.19,85.03,002837,2026-06-23,135856597
source_reported_unknown,8531163920.00,82.86,83.56,76.88,73.65,71.21,78.13,79.00,002837,2026-06-24,105250674
source_reported_unknown,8944337136.00,86.99,89.69,84.10,75.46,71.92,80.60,85.00,002837,2026-06-25,103094332
source_reported_unknown,6335171405.00,82.57,85.58,81.00,77.00,72.30,82.24,84.39,002837,2026-06-26,76072568
source_reported_unknown,5567001867.00,76.70,82.82,75.20,78.06,72.64,82.12,80.91,002837,2026-06-29,71206425
source_reported_unknown,4755326362.00,79.56,80.68,74.49,78.96,73.32,81.74,75.68,002837,2026-06-30,60539915
source_reported_unknown,4855278029.00,74.73,80.49,74.00,79.12,73.68,80.11,79.56,002837,2026-07-01,63325298
source_reported_unknown,3790190469.00,71.40,75.27,69.80,78.80,73.83,76.99,72.00,002837,2026-07-02,52477775
source_reported_unknown,3140725060.00,71.43,74.41,70.50,78.50,73.94,74.76,71.38,002837,2026-07-03,43283993
source_reported_unknown,4875197950.00,74.06,76.99,71.00,78.18,74.35,74.24,71.01,002837,2026-07-06,65190701
source_reported_unknown,3705214636.00,71.29,76.88,71.05,77.16,74.75,72.58,72.00,002837,2026-07-07,50510061
source_reported_unknown,3973570319.00,72.12,74.79,70.50,76.09,74.87,72.06,72.00,002837,2026-07-08,54417692
source_reported_unknown,5418373285.00,75.87,76.55,68.24,74.97,75.21,72.95,73.44,002837,2026-07-09,74503308
source_reported_unknown,5495359760.00,73.54,78.50,73.38,74.07,75.53,73.38,74.87,002837,2026-07-10,72001743
source_reported_unknown,4060756718.00,66.98,74.81,66.40,73.10,75.58,71.96,72.72,002837,2026-07-13,58225858
