date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-07-01,sz.002837,29.7300,30.1400,29.4000,29.4600,29.7100,18477196,548989713.8800,3,2.193600,1,-0.841500,0
2025-07-02,sz.002837,29.1100,29.2900,28.6400,28.7400,29.4600,15151621,437195625.2500,3,1.798800,1,-2.444000,0
2025-07-03,sz.002837,28.8900,29.0800,28.6600,28.8400,28.7400,14408097,415897488.8600,3,1.710500,1,0.347900,0
2025-07-04,sz.002837,29.2500,30.1400,29.0900,29.4100,28.8400,32760270,972100020.5700,3,3.889300,1,1.976400,0
2025-07-07,sz.002837,28.8000,29.8100,28.4800,29.0100,29.4100,20358270,588564241.4100,3,2.416900,1,-1.360100,0
2025-07-08,sz.002837,28.8300,30.8700,28.5400,30.8600,29.0100,43491228,1314392584.3800,3,5.163300,1,6.377100,0
2025-07-09,sz.002837,30.8700,30.9800,30.2300,30.5900,30.8600,26847813,819631302.3700,3,3.187400,1,-0.874900,0
2025-07-10,sz.002837,30.6000,31.2500,29.9000,30.9900,30.5900,31142282,951969903.3100,3,3.697200,1,1.307600,0
2025-07-11,sz.002837,30.6700,30.9500,30.3000,30.6300,30.9900,20532104,628838381.9900,3,2.437600,1,-1.161700,0
2025-07-14,sz.002837,30.6600,32.3700,30.6300,31.8400,30.6300,36792587,1163309444.0200,3,4.368000,1,3.950400,0
2025-07-15,sz.002837,31.7200,33.8900,31.7200,33.8700,31.8400,46674050,1545894508.6000,3,5.541100,1,6.375600,0
2025-07-16,sz.002837,33.9200,35.2000,32.6800,32.7200,33.8700,49721701,1679319867.2100,3,5.903000,1,-3.395300,0
2025-07-17,sz.002837,32.5600,33.1600,32.3700,33.1600,32.7200,31718804,1041026023.8200,3,3.765700,1,1.344700,0
2025-07-18,sz.002837,33.5000,34.4200,32.9300,34.1500,33.1600,34737432,1173741997.7400,3,4.124000,1,2.985500,0
2025-07-21,sz.002837,33.6700,34.0000,32.6000,32.9900,34.1500,32781052,1079621802.8800,3,3.891800,1,-3.396800,0
2025-07-22,sz.002837,32.6100,32.9100,31.3300,31.6400,32.9900,45266383,1442635557.2600,3,5.374000,1,-4.092100,0
