buyer,deal_amount,deal_price,period,seller
机构专用,5928700,71.43,2026-07-03,机构专用
机构专用,6711600,71.4,2026-07-02,机构专用
中信证券华南股份有限公司广州临江大道证券营业部,2039400,73.36,2026-06-24,中信建投证券股份有限公司广州中山三路证券营业部
联储证券股份有限公司成都洗面桥街证券营业部,4871400,93.68,2026-04-14,联储证券股份有限公司成都洗面桥街证券营业部
中信建投证券股份有限公司上海营口路证券营业部,13969300,100.21,2026-03-11,机构专用
机构专用,2998400,111.05,2026-03-02,机构专用
机构专用,2998400,111.05,2026-03-02,机构专用
德邦证券股份有限公司上海志丹路证券营业部,2000000,100,2026-02-03,德邦证券股份有限公司上海志丹路证券营业部
国联民生证券股份有限公司无锡盛岸西路证券营业部,31425000,104.75,2025-12-31,招商证券股份有限公司郑州商务外环路证券营业部
国联民生证券股份有限公司无锡盛岸西路证券营业部,55470000,110.94,2025-12-30,招商证券股份有限公司郑州商务外环路证券营业部
国联民生证券股份有限公司无锡盛岸西路证券营业部,42852000,107.13,2025-12-29,招商证券股份有限公司郑州商务外环路证券营业部
中信证券华南股份有限公司广州临江大道证券营业部,2116100,60.46,2025-09-10,中信建投证券股份有限公司广州中山三路证券营业部
中信建投证券股份有限公司北京东城分公司,20105000,40.21,2025-08-01,申万宏源证券有限公司河南分公司
机构专用,2055200,36.7,2024-11-28,中信证券股份有限公司上海分公司
兴业证券股份有限公司哈尔滨友谊路证券营业部,8692500,34.77,2024-11-08,招商证券股份有限公司郑州商务外环路证券营业部
方正证券股份有限公司上海杨高南路证券营业部,8300000,33.2,2024-11-05,招商证券股份有限公司郑州商务外环路证券营业部
方正证券股份有限公司上海杨高南路证券营业部,9468000,31.56,2024-11-04,招商证券股份有限公司郑州商务外环路证券营业部
方正证券股份有限公司上海杨高南路证券营业部,9570000,31.9,2024-10-29,招商证券股份有限公司郑州商务外环路证券营业部
方正证券股份有限公司上海杨高南路证券营业部,9255000,30.85,2024-10-22,招商证券股份有限公司郑州商务外环路证券营业部
方正证券股份有限公司上海杨高南路证券营业部,9465000,31.55,2024-10-21,招商证券股份有限公司郑州商务外环路证券营业部
华泰证券股份有限公司天津东丽开发区二纬路证券营业部,14335000,28.67,2024-10-18,招商证券股份有限公司郑州商务外环路证券营业部
中信证券股份有限公司北京呼家楼证券营业部,7821000,26.07,2024-10-17,招商证券股份有限公司郑州商务外环路证券营业部
中信证券股份有限公司北京总部证券营业部,14015000,28.03,2024-10-08,招商证券股份有限公司郑州商务外环路证券营业部
机构专用,9998800,19.02,2024-08-06,信达证券股份有限公司青岛珠江路证券营业部
机构专用,9998900,24.91,2024-04-17,信达证券股份有限公司青岛珠江路证券营业部
机构专用,5559300,33.15,2024-03-20,中信建投证券股份有限公司福清福和路证券营业部
信达证券股份有限公司深圳分公司,2216000,22.16,2024-02-23,信达证券股份有限公司青岛珠江路证券营业部
信达证券股份有限公司深圳分公司,2183000,21.83,2024-02-22,信达证券股份有限公司青岛珠江路证券营业部
信达证券股份有限公司深圳分公司,2150600,20.88,2024-02-21,信达证券股份有限公司青岛珠江路证券营业部
信达证券股份有限公司深圳分公司,2505600,20.88,2024-02-20,信达证券股份有限公司青岛珠江路证券营业部
信达证券股份有限公司深圳分公司,3010300,20.34,2024-02-19,信达证券股份有限公司青岛珠江路证券营业部
信达证券股份有限公司深圳分公司,3524300,17.86,2024-02-07,信达证券股份有限公司青岛珠江路证券营业部
信达证券股份有限公司深圳分公司,3442000,17.21,2024-02-06,信达证券股份有限公司青岛珠江路证券营业部
中信证券股份有限公司上海分公司,2268000,34.26,2023-02-08,中信证券股份有限公司上海南京西路证券营业部
东方财富证券股份有限公司拉萨北京中路第二证券营业部,18535000,37.07,2022-10-18,招商证券股份有限公司郑州商务外环路证券营业部
招商证券股份有限公司深圳科技园高新南一道证券营业部,35359600,20.63,2022-05-11,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
招商证券股份有限公司深圳科技园高新南一道证券营业部,35359600,20.63,2022-05-11,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,5011200,41.76,2021-12-13,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,7099200,41.76,2021-12-13,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,2088000,41.76,2021-12-13,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,8352000,41.76,2021-12-13,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,2088000,41.76,2021-12-13,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,27979200,41.76,2021-12-13,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,2505600,41.76,2021-12-13,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,3340800,41.76,2021-12-13,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
机构专用,39250000,39.25,2021-11-18,申万宏源西部证券有限公司霍尔果斯亚欧路证券营业部
海通证券股份有限公司兰州通达街证券营业部,33048000,41.31,2021-11-09,招商证券股份有限公司郑州商务外环路证券营业部
东方证券股份有限公司上海静安区万荣路证券营业部,35576000,44.47,2021-11-04,招商证券股份有限公司郑州商务外环路证券营业部
东方证券股份有限公司上海徐汇广元西路证券营业部,4739500,16.27,2020-12-17,东方证券股份有限公司上海徐汇广元西路证券营业部
东方证券股份有限公司上海徐汇广元西路证券营业部,5538000,18.46,2020-09-29,东方证券股份有限公司上海徐汇广元西路证券营业部
