large_net,main_net,medium_net,period,small_net,source_name,super_large_net
-432664704.0,-710245468.0,53639072.0,2026-06-01,656606400.0,eastmoney_push2,-277580764.0
-116295248.0,-97350752.0,-145102720.0,2026-06-02,242453488.0,eastmoney_push2,18944496.0
-184285952.0,-109900176.0,32242240.0,2026-06-03,77657920.0,eastmoney_push2,74385776.0
-40950432.0,12078400.0,-25895856.0,2026-06-04,13817456.0,eastmoney_push2,53028832.0
-157313104.0,-430114152.0,-3337712.0,2026-06-05,433451872.0,eastmoney_push2,-272801048.0
-160992048.0,-223862332.0,-111801776.0,2026-06-08,335664112.0,eastmoney_push2,-62870284.0
52422960.0,992734752.0,-428906736.0,2026-06-09,-563828000.0,eastmoney_push2,940311792.0
-255543120.0,-304821056.0,-191782464.0,2026-06-10,496603520.0,eastmoney_push2,-49277936.0
-70208656.0,-196407532.0,8244016.0,2026-06-11,188163488.0,eastmoney_push2,-126198876.0
168415728.0,199414096.0,135664400.0,2026-06-12,-335078496.0,eastmoney_push2,30998368.0
35878688.0,270335248.0,-10881872.0,2026-06-15,-259453360.0,eastmoney_push2,234456560.0
230357648.0,531926240.0,-151150576.0,2026-06-16,-380775648.0,eastmoney_push2,301568592.0
-66201632.0,103973712.0,14294288.0,2026-06-17,-118268000.0,eastmoney_push2,170175344.0
-188224736.0,-143816992.0,-41257168.0,2026-06-18,185074160.0,eastmoney_push2,44407744.0
255901232.0,228988592.0,-11145696.0,2026-06-22,-217842896.0,eastmoney_push2,-26912640.0
-232958848.0,90383168.0,-298622720.0,2026-06-23,208239520.0,eastmoney_push2,323342016.0
57738224.0,-275287360.0,124064304.0,2026-06-24,151223072.0,eastmoney_push2,-333025584.0
-74052512.0,25377168.0,-83185264.0,2026-06-25,57808096.0,eastmoney_push2,99429680.0
-320554464.0,-760219632.0,119984320.0,2026-06-26,640235312.0,eastmoney_push2,-439665168.0
-255453936.0,-558349600.0,20934704.0,2026-06-29,537414912.0,eastmoney_push2,-302895664.0
-115663312.0,-213454816.0,167790864.0,2026-06-30,45663968.0,eastmoney_push2,-97791504.0
-299641392.0,-777129824.0,52210256.0,2026-07-01,724919568.0,eastmoney_push2,-477488432.0
-84866720.0,-203760144.0,-25129344.0,2026-07-02,228889504.0,eastmoney_push2,-118893424.0
18749216.0,33806320.0,-6094976.0,2026-07-03,-27711328.0,eastmoney_push2,15057104.0
184252368.0,450839280.0,-137664256.0,2026-07-06,-313175008.0,eastmoney_push2,266586912.0
-117745344.0,-360041296.0,46781104.0,2026-07-07,313260208.0,eastmoney_push2,-242295952.0
110971104.0,179758912.0,-117130896.0,2026-07-08,-62628000.0,eastmoney_push2,68787808.0
-88104624.0,183051248.0,-126808928.0,2026-07-09,-56242320.0,eastmoney_push2,271155872.0
-150274736.0,-230544144.0,27100256.0,2026-07-10,203443872.0,eastmoney_push2,-80269408.0
-208737072.0,-555325168.0,-96455200.0,2026-07-13,651780368.0,eastmoney_push2,-346588096.0
