margin_balance,margin_purchase,period,short_balance
4307123075,452598220,2026-07-10,28583673
4297132406,380226656,2026-07-09,29398259
4320681361,264321680,2026-07-08,27822597
4369927200,254903301,2026-07-07,26957743
4390192018,453209109,2026-07-06,27086854
4326421987,236525956,2026-07-03,23289894
4357251174,316906668,2026-07-02,20815885
4360668287,480928606,2026-07-01,25568047
4453398276,438634493,2026-06-30,28114834
4535373975,583930185,2026-06-29,26261237
4595065944,604522710,2026-06-26,28300785
4628077088,931600211,2026-06-25,30121941
4483232846,893438766,2026-06-24,27472151
4413992220,1127330043,2026-06-23,26105297
4354438053,613559272,2026-06-22,22219035
4288610864,422473314,2026-06-18,28618246
4235807499,342749856,2026-06-17,29574069
4251407495,431500398,2026-06-16,30024661
4303048158,306639445,2026-06-15,26295629
4264020038,252984331,2026-06-12,24861873
4228449092,185093823,2026-06-11,23486849
4281346472,534270766,2026-06-10,25889796
4103822739,454567026,2026-06-09,21356909
3991098449,129171757,2026-06-08,19444604
4064898643,209775517,2026-06-05,18471375
4115262973,266236456,2026-06-04,19071079
4156993044,423495807,2026-06-03,18158363
4046835755,236564576,2026-06-02,20946465
4062109362,334063346,2026-06-01,26422282
3962057557,408483483,2026-05-29,23512580
4008976599,318675633,2026-05-28,29497850
3999158847,460921123,2026-05-27,27819956
3973000024,646977756,2026-05-26,26128936
3936721845,418063382,2026-05-25,26522878
3970833028,380485462,2026-05-22,24165583
4006231179,565832177,2026-05-21,19229378
4131315112,738250213,2026-05-20,19262289
3958244339,384266480,2026-05-19,14815232
3936664307,377580649,2026-05-18,14100730
3914290486,411664387,2026-05-15,15825165
3920480611,598698419,2026-05-14,17004036
3795043731,548624874,2026-05-13,19901570
3895565781,385041731,2026-05-12,15226477
3872009662,559861679,2026-05-11,15424116
3715649758,367593537,2026-05-08,15513830
3772294825,526759421,2026-05-07,15285172
3720827242,453779122,2026-05-06,14116032
3696039117,222252563,2026-04-30,20233048
3718963016,237702887,2026-04-29,21544110
3784962087,254940450,2026-04-28,22641819
