stock_code,stock_name,title,org_name,publish_date,info_code,industry_name,predict_this_year_eps,predict_this_year_pe,predict_next_year_eps,predict_next_year_pe,predict_next_two_year_eps,predict_next_two_year_pe
002837,英维克,Q1利润短期承压，液冷增长强劲,国金证券,2026-04-24,AP202604241821526861,专用设备,1.2030000000,86.5900000000,1.9910000000,52.3300000000,2.9990000000,34.7400000000
002837,英维克,公司信息更新报告：液冷龙头沉潜蓄势，看好下半年液冷兑现,开源证券,2026-04-22,AP202604221821435857,专用设备,1.1400000000,106.6000000000,1.6800000000,72.2000000000,2.2800000000,53.1000000000
002837,英维克,液冷温控领域龙头企业，2026即将迎来AI液冷大年,群益证券,2025-12-30,AP202512301811188651,专用设备,4.7000000000,23.0000000000,6.4400000000,17.0000000000,,
002837,英维克,乘液冷东风，海外客户有望逐步突破,太平洋,2025-12-29,AP202512291810775501,专用设备,1.1400000000,97.4000000000,1.5500000000,71.5300000000,,
002837,英维克,盈利水平环比改善，液冷龙头出海,国金证券,2025-10-14,AP202510141761988256,专用设备,1.3950000000,56.3400000000,2.0220000000,38.8700000000,,
002837,英维克,公司信息更新报告：业绩符合预期，发布符合谷歌标准的液冷产品,开源证券,2025-10-14,AP202510141761908752,专用设备,1.1500000000,68.6000000000,1.6900000000,46.5000000000,,
002837,英维克,2025H1营收同比+50%，积极建设海外资源平台,国信证券,2025-08-24,AP202508241733556504,专用设备,1.6700000000,39.4000000000,2.4400000000,26.9000000000,,
002837,英维克,公司信息更新报告：英特尔UQD联盟成立，公司为首批认证伙伴,开源证券,2025-08-21,AP202508211731630903,专用设备,1.13,61.2,1.57,44.2,,
002837,英维克,温控业绩高增，液冷板块龙头出海,国金证券,2025-08-20,AP202508201731079398,专用设备,1.3950000000,50.3100000000,2.0230000000,34.7100000000,,
002837,英维克,公司信息更新报告：液冷产品加速放量，发出商品及合同负债大幅增长,开源证券,2025-08-19,AP202508191730428489,专用设备,1.1300000000,62.0000000000,1.5700000000,44.8000000000,,
002837,英维克,机房温控业务受益AI算力发展，加大投入为扩产做准备,国信证券,2025-05-07,AP202505071668959250,专用设备,1.3700000000,25.1000000000,1.7400000000,19.8000000000,,
002837,英维克,2024年年报&2025年一季报点评：液冷全链突破显效，储能多维创新领航,民生证券,2025-04-23,AP202504231661036813,专用设备,0.7200000000,43.0000000000,0.7700000000,40.0000000000,,
002837,英维克,公司信息更新报告：数据中心业务快速增长，持续加大研发投入,开源证券,2025-04-23,AP202504231660998760,专用设备,1.2100000000,28.5000000000,1.5000000000,22.9000000000,,
002837,英维克,业绩快速增长，液冷业务未来可期,国金证券,2025-04-22,AP202504221660338457,专用设备,1.2810000000,26.8900000000,1.6440000000,20.9600000000,,
