metric_name,period,report_type,stock_code,value,yoy
货币资金,2026-03-31,fzb,002837,917139183.430000,0.24044
交易性金融资产,2026-03-31,fzb,002837,63017111.120000,
应收票据及应收账款,2026-03-31,fzb,002837,3099002403.900000,0.3232
应收票据,2026-03-31,fzb,002837,38114632.890000,-0.57899
应收账款,2026-03-31,fzb,002837,3060887771.010000,0.35948
应收款项融资,2026-03-31,fzb,002837,325648993.140000,0.10478
预付款项,2026-03-31,fzb,002837,33616858.310000,1.17194
其他应收款(合计),2026-03-31,fzb,002837,44581655.490000,-0.46668
存货,2026-03-31,fzb,002837,1181981088.850000,0.04137
一年内到期的非流动资产,2026-03-31,fzb,002837,4825660.870000,-0.26678
其他流动资产,2026-03-31,fzb,002837,162858133.780000,0.31504
流动资产合计,2026-03-31,fzb,002837,6059752726.520000,0.23906
在建工程合计,2026-03-31,fzb,002837,322483846.240000,0.78493
固定资产及清理合计,2026-03-31,fzb,002837,816672593.190000,0.2741
合同资产,2026-03-31,fzb,002837,227081637.630000,0.51478
使用权资产,2026-03-31,fzb,002837,107615709.740000,0.15166
无形资产,2026-03-31,fzb,002837,146871665.800000,0.17202
商誉,2026-03-31,fzb,002837,59968413.610000,-0.46075
长期待摊费用,2026-03-31,fzb,002837,24331961.920000,0.06362
递延所得税资产,2026-03-31,fzb,002837,164666643.220000,0.8212
其他非流动资产,2026-03-31,fzb,002837,59399662.410000,-0.00188
非流动资产合计,2026-03-31,fzb,002837,1702010496.130000,0.2851
资产总计,2026-03-31,fzb,002837,7761763222.650000,0.24887
短期借款,2026-03-31,fzb,002837,939000000.000000,0.7261
应付票据及应付账款,2026-03-31,fzb,002837,1798743336.410000,0.12925
应付票据,2026-03-31,fzb,002837,478903475.250000,0.05725
应付账款,2026-03-31,fzb,002837,1319839861.160000,0.15787
合同负债,2026-03-31,fzb,002837,285640588.560000,-0.22061
应付职工薪酬,2026-03-31,fzb,002837,69990344.710000,0.22644
应交税费,2026-03-31,fzb,002837,238887759.620000,7.73113
应付利息,2026-03-31,fzb,002837,158697.530000,0.12557
其他应付款合计,2026-03-31,fzb,002837,73515946.090000,0.79075
一年内到期的非流动负债,2026-03-31,fzb,002837,246338651.340000,4.11352
其他流动负债,2026-03-31,fzb,002837,106101254.260000,0.11316
流动负债合计,2026-03-31,fzb,002837,3758217880.990000,0.35562
长期借款,2026-03-31,fzb,002837,351026719.140000,0.08718
租赁负债,2026-03-31,fzb,002837,78909142.620000,0.44076
预计非流动负债,2026-03-31,fzb,002837,61713310.650000,0.30647
长期递延收益,2026-03-31,fzb,002837,19786027.900000,0.06007
