ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,inventories,accounts_receiv,accounts_pay
002837.SZ,20260421,20260421,20260331,1,1,7761763222.65,4277389028.88,3461780265.25,1181981088.85,3060887771.01,1798743336.41
002837.SZ,20260421,20260421,20251231,1,1,7747255663.66,4284524186.17,3445641008.79,983397026.13,3053959547.65,2001499104.79
002837.SZ,20251014,20251014,20250930,1,1,7210891358.49,3886929533.05,3313055700.5,1232103430.49,2578539613.76,1671840198.01
002837.SZ,20250819,20250819,20250630,1,1,6875618140.1,3858097838.96,3010943510.24,1239104847.35,2628324101.99,1802870634.15
002837.SZ,20250422,20250422,20250331,1,1,6215027754.98,3239211636.75,2972019386.23,1135020807.94,2251518996.71,1592860994.22
002837.SZ,20250422,20250422,20250331,1,1,6215027754.98,3239211636.75,2972019386.23,1135020807.94,2251518996.71,1592860994.22
002837.SZ,20250422,20250422,20241231,1,1,6014413898.7,3101096520.71,2915892117.15,884357243.24,2428405953.58,1804813557.3
002837.SZ,20241025,20241025,20240930,1,1,5587126916.69,2802599451.46,2789458629.46,896096768.27,1822594659.52,1558222147.32
002837.SZ,20240813,20240813,20240630,1,1,4893018023.11,2310396251.77,2586843565.84,692503008.78,1687460759.69,1203819864.25
002837.SZ,20240423,20240423,20240331,1,1,4839965583.79,2279377122.33,2565023783.11,635049102.4,1465750965.84,1207995326.21
002837.SZ,20240423,20240423,20240331,1,1,4839965583.79,2279377122.33,2565023783.11,635049102.4,1465750965.84,1207995326.21
002837.SZ,20240416,20240416,20231231,1,1,5091055172.06,2609121157.31,2486071338.29,672726419.24,1730923290.8,1457493183.24
002837.SZ,20240416,20240416,20231231,1,1,5091055172.06,2609121157.31,2486071338.29,672726419.24,1730923290.8,1457493183.24
