ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
300499.SZ,20260424,20260424,20260331,1,1,1,,,94182215.54,721420.62,,,,,,,,,,,,3223998.59,98127634.75,123839546.6,58232490.58,7535346.76,,,,,,21000896.11,210608280.05,-112480645.3,,100000000.0,396986.3,179544.0,,100576530.3,6077149.77,100000000.0,,,,106077149.77,-5500619.47,,,6963333.61,6963333.61,,,,,559413.09,559413.09,6403920.52,,-111577344.25,276069868.61,164492524.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
300499.SZ,20260424,20260424,20260331,1,1,1,,,94182215.54,721420.62,,,,,,,,,,,,3223998.59,98127634.75,123839546.6,58232490.58,7535346.76,,,,,,21000896.11,210608280.05,-112480645.3,,100000000.0,396986.3,179544.0,,100576530.3,6077149.77,100000000.0,,,,106077149.77,-5500619.47,,,6963333.61,6963333.61,-106338423.925,,,,559413.09,559413.09,6403920.52,,-111577344.25,276069868.61,164492524.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300499.SZ,20260424,20260424,20251231,1,1,4,27655598.51,436720.75,810098354.41,1887327.06,,,,,,,,,,,,24963367.64,836949049.11,441665394.68,157056608.5,35747301.08,,,,,,91623861.1,726093165.36,110855883.75,,80000000.0,14230582.22,1161962.61,,95392544.83,25803422.8,,,,,25803422.8,69589122.03,5996800.0,,,5996800.0,,5996800.0,,,5923805.92,11920605.92,-5923805.92,115249.44,174636449.3,101433419.31,276069868.61,,,,6381446.47,24997515.89,2366932.71,10379017.65,,,-100196.94,677327.98,,-35426184.6,-1503334.75,36407874.09,-187894988.02,-72866905.74,285041631.83,,110855883.75,,,,174636449.3,,,,3951912.46,,276069868.61,101433419.31,,,0
300499.SZ,20260424,20260424,20251231,1,1,4,27655598.51,436720.75,810098354.41,1887327.06,,,,,,,,,,,,24963367.64,836949049.11,441665394.68,157056608.5,35747301.08,,,,,,91623861.1,726093165.36,110855883.75,,80000000.0,14230582.22,1161962.61,,95392544.83,25803422.8,,,,,25803422.8,69589122.03,5996800.0,,,5996800.0,135297629.8953,5996800.0,,,5923805.92,11920605.92,-5923805.92,115249.44,174636449.3,101433419.31,276069868.61,,,,6381446.47,24997515.89,2366932.71,10379017.65,,,-100196.94,677327.98,,-35426184.6,-1503334.75,36407874.09,-187894988.02,-72866905.74,285041631.83,,110855883.75,,,,174636449.3,,,,3951912.46,,276069868.61,101433419.31,,,1
300499.SZ,20251025,20251025,20250930,1,1,3,,,634275318.52,1822057.25,,,,,,,,,,,,17667492.33,653764868.1,321655171.85,115516365.43,27339143.46,,,,,,75579893.62,540090574.36,113674293.74,,,,412043.61,,412043.61,17715890.63,2810000.0,,,,20525890.63,-20113847.02,5996800.0,,,5996800.0,56407980.81,,163723.92,,1666712.89,1830436.81,4166363.19,174467.91,97901277.82,101433419.31,199334697.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300499.SZ,20250823,20250823,20250630,1,1,2,20785193.33,235906.28,405397825.71,1325630.32,,,,,,,,,,,,8990064.62,415713520.65,191378896.3,78374856.58,20628013.37,,,,,,48895502.78,339277269.03,76436251.62,,,,193171.0,,193171.0,12800931.33,,,,,12800931.33,-12607760.33,5996800.0,,,5996800.0,44712597.95,,70982.37,,1478902.93,1549885.3,4446914.7,231104.08,68506510.07,101433419.31,169939929.38,,,,1346899.45,9140771.54,1181086.3,5137167.74,,,-68600.61,104682.08,0.0,-18099470.46,-2695394.08,-44377.42,-67476691.09,31507382.81,74873939.77,,76436251.62,,,,68506510.07,,,,1035543.09,,169939929.38,101433419.31,,,1
300499.SZ,20250425,20250425,20250331,1,1,1,,,97779987.37,619681.79,,,,,,,,,,,,5387795.05,103787464.21,99526403.59,43478186.94,10503360.3,,,,,,23615584.62,177123535.45,-73336071.24,,,,20100.0,,20100.0,5539407.84,,,,,5539407.84,-5519307.84,5996800.0,,29943166.67,35939966.67,,,26539.4,,1159577.35,1186116.75,34753849.92,57392.06,-44044137.1,101433419.31,57389282.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
300499.SZ,20250425,20250425,20250331,1,1,1,,,97779987.37,619681.79,,,,,,,,,,,,5387795.05,103787464.21,99526403.59,43478186.94,10503360.3,,,,,,23615584.62,177123535.45,-73336071.24,,,,20100.0,,20100.0,5539407.84,,,,,5539407.84,-5519307.84,5996800.0,,29943166.67,35939966.67,-102846496.09,,26539.4,,1159577.35,1186116.75,34753849.92,57392.06,-44044137.1,101433419.31,57389282.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300499.SZ,20250425,20250425,20241231,1,1,4,-49613153.76,527694.05,546019173.49,3708138.06,,,,,,,,,,,,33905664.05,583632975.6,367711047.88,140059282.83,51083949.49,,,,,,93016035.96,651870316.16,-68237340.56,1108721.27,35498777.78,1026052.89,939616.0,,38573167.94,52813163.58,50000000.0,,,,102813163.58,-64239995.64,1171984.92,,,1171984.92,-233313999.0,25321640.42,883155.65,,3479971.87,29684767.94,-28512783.02,-193792.32,-161183911.54,262617330.85,101433419.31,,,,10857359.26,20195803.91,2379890.13,9036893.9,,,2279253.68,110800.41,,-23491431.24,-1776000.22,625315.48,-61663557.25,-108686925.95,123330503.98,,-68237340.56,,,,-161183911.54,,,,4811984.14,,101433419.31,262617330.85,,,1
300499.SZ,20241025,20241025,20240930,1,1,3,,,377955863.86,3172739.77,,,,,,,,,,,,23497325.56,404625929.19,288682420.48,100360880.54,29382729.6,,,,,,71567554.79,489993585.41,-85367656.22,,35498777.78,1026052.89,51900.0,,36576730.67,43933896.6,50000000.0,-1108721.27,,,92825175.33,-56248444.66,1171984.92,,,1171984.92,,22721640.42,825754.77,,2860214.1,26407609.29,-25235624.37,-62635.96,-166914361.21,262617330.85,95702969.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
