ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
300602.SZ,20260428,20260428,20260331,1,1,1,,,1664567948.94,17523554.47,,,,,,,,,,,,30977836.06,1713069339.47,1214548374.07,402355925.55,53307203.19,,,,,,66748519.49,1736960022.3,-23890682.83,251752676.78,,76678.47,17331.55,,251846686.8,167426182.6,,,376390000.0,,543816182.6,-291969495.8,88158448.11,,440695763.24,528854211.35,-343507209.4373,185239026.73,8640251.94,,364116726.17,557996004.84,-29141793.49,-3386718.28,-348388690.4,906488355.03,558099664.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300602.SZ,20260428,20260428,20260331,1,1,1,,,1664567948.94,17523554.47,,,,,,,,,,,,30977836.06,1713069339.47,1214548374.07,402355925.55,53307203.19,,,,,,66748519.49,1736960022.3,-23890682.83,251752676.78,,76678.47,17331.55,,251846686.8,167426182.6,,,376390000.0,,543816182.6,-291969495.8,88158448.11,,440695763.24,528854211.35,,185239026.73,8640251.94,,364116726.17,557996004.84,-29141793.49,-3386718.28,-348388690.4,906488355.03,558099664.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
300602.SZ,20260428,20260428,20251231,1,1,4,359460667.08,36025749.52,5644303281.68,49841663.06,,,,,,,,,,,,105704897.47,5799849842.21,3570743691.07,1426266762.47,182083627.75,,,,,,183750146.33,5362844227.62,437005614.59,198320000.0,15000000.0,273921.43,851615.53,,214445536.96,564818782.76,19330000.0,266696818.71,208570000.0,,1059415601.47,-844970064.51,540088689.66,,710172651.79,1281846503.45,,473062610.23,56075022.14,,595099646.52,1124237278.89,157609224.56,-107965.75,-250463191.11,1156835843.57,906372652.46,31585162.0,11400000.0,,136452482.25,189108461.17,18061737.37,54943329.99,,,-2604276.75,3127026.81,-139528.15,-9839797.91,-34644333.7,13021859.72,-131477053.25,-759961946.79,484120863.64,,437005614.59,,,,-250463191.11,,,,40521505.72,,906372652.46,1156835843.57,,,0
300602.SZ,20260428,20260428,20251231,1,1,4,359460667.08,36025749.52,5644303281.68,49841663.06,,,,,,,,,,,,105704897.47,5799849842.21,3570743691.07,1426266762.47,182083627.75,,,,,,183750146.33,5362844227.62,437005614.59,198320000.0,15000000.0,273921.43,851615.53,,214445536.96,564818782.76,19330000.0,266696818.71,208570000.0,,1059415601.47,-844970064.51,540088689.66,,710172651.79,1281846503.45,266806641.35,473062610.23,56075022.14,,595099646.52,1124237278.89,157609224.56,-107965.75,-250463191.11,1156835843.57,906372652.46,31585162.0,11400000.0,,136452482.25,189108461.17,18061737.37,54943329.99,,,-2604276.75,3127026.81,-139528.15,-9839797.91,-34644333.7,13021859.72,-131477053.25,-759961946.79,484120863.64,,437005614.59,,,,-250463191.11,,,,40521505.72,,906372652.46,1156835843.57,,,1
300602.SZ,20251029,20251029,20250930,1,1,3,,,4269115304.77,43482619.65,,,,,,,,,,,,58164950.84,4370762875.26,2591610057.13,1046024521.83,136363121.69,,,,,,132903226.25,3906900926.9,463861948.36,74763542.91,13500000.0,231774.8,822493.35,,89317811.06,372515248.75,5000000.0,266696818.71,105295815.0,,749507882.46,-660190071.4,420523090.55,,495258620.71,947373473.26,-36316440.9182,341160000.0,48291189.19,,561514351.53,950965540.72,-3592067.46,5470705.62,-194449484.88,1155920620.02,961471135.14,31591762.0,11184400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300602.SZ,20250819,20250819,20250630,1,1,2,175137462.04,15600474.07,2717452203.24,27698077.84,,,,,,,,,,,,46131429.85,2791281710.93,1647799750.53,691057375.38,92824772.1,,,,,,69815797.47,2501497695.48,289784015.45,38350000.0,13500000.0,220309.63,569842.35,,52640151.98,307655264.14,38118611.0,229121018.07,45460000.0,,620354893.21,-567714741.23,337523090.55,,235169082.62,593192935.17,-58435340.3752,243160000.0,38062041.3,,372480102.97,653702144.27,-60509209.1,5204997.35,-333234937.53,1155920620.02,822685682.49,20500762.0,100000.0,,69336658.26,91509249.76,8730463.46,30238761.67,,,-2319180.92,677322.53,,-4400302.65,-7450185.39,609514.93,-84434381.34,-169001356.73,138624742.33,,289784015.45,,,,-333234937.53,,,,20705839.81,,822685682.49,1155920620.02,,,1
300602.SZ,20250416,20250416,20250331,1,1,1,,,1077210008.91,12501055.05,,,,,,,,,,,,36955764.35,1126666828.31,789091652.87,324478917.0,43278742.69,,,,,,27232127.56,1184081440.12,-57414611.81,,21000000.0,113449.73,573835.96,,21687285.69,152510643.16,236364219.45,,,,388874862.61,-367187576.92,251131000.0,,120000000.0,371131000.0,-282454146.92,179810000.0,8133617.65,,113060984.87,301004602.52,70126397.48,3411989.58,-351063801.67,1155920620.02,804856818.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300602.SZ,20250416,20250416,20250331,1,1,1,,,1077210008.91,12501055.05,,,,,,,,,,,,36955764.35,1126666828.31,789091652.87,324478917.0,43278742.69,,,,,,27232127.56,1184081440.12,-57414611.81,,21000000.0,113449.73,573835.96,,21687285.69,152510643.16,236364219.45,,,,388874862.61,-367187576.92,251131000.0,,120000000.0,371131000.0,,179810000.0,8133617.65,,113060984.87,301004602.52,70126397.48,3411989.58,-351063801.67,1155920620.02,804856818.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
300602.SZ,20250416,20250416,20241231,1,1,4,173239836.31,34786771.15,4740053980.37,55694730.26,,,,,,,,,,,,118728785.25,4914477495.88,3140259109.95,1139633122.94,128664443.78,,,,,,153889138.92,4562445815.59,352031680.29,,21000000.0,46849694.97,54032273.93,,121881968.9,368478730.01,,2222735.81,,,370701465.82,-248819496.92,367466085.72,,485482009.35,874662080.23,54391034.955,743651072.9,60042567.89,,251329313.86,1055022954.65,-180360874.42,13292017.25,-63856673.8,1212056522.8,1148199849.0,21713985.16,,,104595286.64,171933153.68,17661540.54,106833608.65,,,1481898.0,7754393.49,,30315813.18,33796337.91,-21335223.03,-147055542.62,-425838680.58,207438733.45,,352031680.29,,,,-63856673.8,,,,45516318.77,,1148199849.0,1212056522.8,,,1
300602.SZ,20250416,20250416,20241231,1,1,4,173239836.31,34786771.15,4740053980.37,55694730.26,,,,,,,,,,,,118728785.25,4914477495.88,3140259109.95,1139633122.94,128664443.78,,,,,,153889138.92,4562445815.59,352031680.29,,21000000.0,46849694.97,54032273.93,,121881968.9,368478730.01,,2222735.81,,,370701465.82,-248819496.92,367466085.72,,485482009.35,874662080.23,,743651072.9,60042567.89,,251329313.86,1055022954.65,-180360874.42,13292017.25,-63856673.8,1212056522.8,1148199849.0,21713985.16,,,104595286.64,171933153.68,17661540.54,106833608.65,,,1481898.0,7754393.49,,30315813.18,33796337.91,-21335223.03,-147055542.62,-425838680.58,207438733.45,,352031680.29,,,,-63856673.8,,,,45516318.77,,1148199849.0,1212056522.8,,,0
