ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
300731.SZ,20260429,20260429,20260331,1,1,1,,,200521551.96,650396.94,,,,,,,,,,,,2074655.56,203246604.46,148270043.88,54913267.56,13888182.73,,,,,,22614280.33,239685774.5,-36439170.04,,4000000,23830.13,5133.0,,4028963.13,12025806.72,6000000,,,,18025806.72,-13996843.59,100000000.0,,2052954.61,107946954.61,-59588314.33,15500000,1790938.13,,9168058.75,26458996.88,81487957.73,-1136557.52,29915386.58,193363787.78,223279174.36,5894000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300731.SZ,20260429,20260429,20260331,1,1,1,,,200521551.96,650396.94,,,,,,,,,,,,2074655.56,203246604.46,148270043.88,54913267.56,13888182.73,,,,,,22614280.33,239685774.5,-36439170.04,,4000000,23830.13,5133.0,,4028963.13,12025806.72,6000000,,,,18025806.72,-13996843.59,100000000.0,,2052954.61,107946954.61,,15500000,1790938.13,,9168058.75,26458996.88,81487957.73,-1136557.52,29915386.58,193363787.78,223279174.36,5894000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
300731.SZ,20260429,20260429,20251231,1,1,4,49539813.81,11822410.71,873996429.14,2837310.51,,,,,,,,,,,,27236547.33,904070286.98,572608403.15,184446358.44,36689807.52,,,,,,67572404.18,861316973.29,42753313.69,20000000.0,39000000,389447.18,105875.79,3274631.42,62769954.39,42511633.23,18600000,,,,61111633.23,1658321.16,247224131.18,,,247224131.18,55741223.59,157500000,22121986.3,7000000.0,32978333.99,212600320.29,34623810.89,-1407130.37,77628315.37,115735472.41,193363787.78,,,,24025405.7,23965125.63,2757899.68,7365983.78,,,1317368.61,950999.74,-2880849.92,3043433.82,-16153155.36,-3086969.16,-2099068.93,-80462736.03,-2425272.62,,42753313.69,,,,77628315.37,,,,25072924.23,,193363787.78,115735472.41,,,1
300731.SZ,20260429,20260429,20251231,1,1,4,49539813.81,11822410.71,873996429.14,2837310.51,,,,,,,,,,,,27236547.33,904070286.98,572608403.15,184446358.44,36689807.52,,,,,,67572404.18,861316973.29,42753313.69,20000000.0,39000000,389447.18,105875.79,3274631.42,62769954.39,42511633.23,18600000,,,,61111633.23,1658321.16,247224131.18,,,247224131.18,,157500000,22121986.3,7000000.0,32978333.99,212600320.29,34623810.89,-1407130.37,77628315.37,115735472.41,193363787.78,,,,24025405.7,23965125.63,2757899.68,7365983.78,,,1317368.61,950999.74,-2880849.92,3043433.82,-16153155.36,-3086969.16,-2099068.93,-80462736.03,-2425272.62,,42753313.69,,,,77628315.37,,,,25072924.23,,193363787.78,115735472.41,,,0
300731.SZ,20251029,20251029,20250930,1,1,3,,,678323169.48,2238710.92,,,,,,,,,,,,14935095.59,695496975.99,332217183.04,149717202.61,29508573.73,,,,,,142695409.48,654138368.86,41358607.13,,48000000,380077.32,49760.81,3274631.42,51704469.55,33314760.82,12600000,,,,45914760.82,5789708.73,167310000.0,,9166462.25,176476462.25,55999186.0509,96300000,21260391.59,7000000.0,25989229.63,143549621.22,32926841.03,-583438.9,79491717.99,115735472.41,195227190.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300731.SZ,20250825,20250825,20250630,1,1,2,18873649.74,7088047.67,439150177.26,1647076.35,,,,,,,,,,,,10205827.71,451003081.32,222073373.04,102233906.28,18389132.38,,,,,,84096961.92,426793373.62,24209707.7,,41000000,292806.09,3216.81,,41296022.9,23142487.81,9000000,,,,32142487.81,9153535.09,111310000.0,,4013339.25,115323339.25,65969482.4673,67500000,20042968.34,,16267443.2,103810411.54,11512927.71,-103967.52,44772202.98,115735472.41,160507675.39,,,,1130902.22,10565635.58,1335166.72,5532358.96,,,9788.93,63524.66,0.0,119136.22,1816296.84,-718563.47,-4658685.39,3855041.56,-32648542.6,,24209707.7,,,,44772202.98,,,,12597602.33,,160507675.39,115735472.41,,,1
300731.SZ,20250429,20250429,20250331,1,1,1,,,200142313.29,1293155.36,,,,,,,,,,,,6860639.41,208296108.06,104426717.1,56659155.98,10950750.47,,,,,,28314962.98,200351586.53,7944521.53,,32500000,17704.12,,,32517704.12,4004914.43,5000000,,,,9004914.43,23512789.69,36810000.0,,,36810000.0,,31220000,1253462.76,,9785135.58,42258598.34,-5448598.34,-9954.77,25998758.11,115735472.41,141734230.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
300731.SZ,20250429,20250429,20250331,1,1,1,,,200142313.29,1293155.36,,,,,,,,,,,,6860639.41,208296108.06,104426717.1,56659155.98,10950750.47,,,,,,28314962.98,200351586.53,7944521.53,,32500000,17704.12,,,32517704.12,4004914.43,5000000,,,,9004914.43,23512789.69,36810000.0,,,36810000.0,2495057.7782,31220000,1253462.76,,9785135.58,42258598.34,-5448598.34,-9954.77,25998758.11,115735472.41,141734230.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300731.SZ,20250429,20250429,20241231,1,1,4,18401967.43,7474540.89,723630965.88,921918.14,,,,,,,,,,,,18993758.41,743546642.43,486331630.55,147569998.94,18975778.06,,,,,,77052291.16,729929698.71,13616943.72,10000000.0,44310000,146240.59,509779.96,4000000.0,58966020.55,66122002.91,27900000,,30000000.0,,124022002.91,-65055982.36,174690000.0,,,186940000.0,-31698108.2341,132800000,16611219.53,,25053809.78,174465029.31,12474970.69,594838.96,-38369228.99,154104701.4,115735472.41,12250000.0,12250000.0,,32355923.6,19484872.74,2611421.31,8831722.23,,,462090.44,20022.41,-4458983.24,1154039.28,2020753.94,2588139.83,-44420896.73,-180744904.32,136104442.33,,13616943.72,,,,-38369228.99,,,,22410128.04,,115735472.41,154104701.4,,,1
300731.SZ,20241030,20241030,20240930,1,1,3,,,517483912.02,1138123.88,,,,,,,,,,,,14592243.43,533214279.33,302552846.59,122235082.54,15329366.83,,,,,,71682089.73,511799385.69,21414893.64,,14900000,62377.16,509724.0,27630090.87,43102192.03,52270534.33,24500000,,,,76770534.33,-33668342.3,142194576.91,,15525458.57,169970035.48,-76544549.0272,121537500,17459219.2,,19646800.1,158643519.3,11326516.18,55693.94,-871238.54,154104701.4,153233462.86,12250000.0,12250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300731.SZ,20240817,20240817,20240630,1,1,2,2172249.8,1544588.02,306035506.84,9112.59,,,,,,,,,,,,8586919.25,314631538.68,181281331.86,80097418.02,8710094.32,,,,,,47022849.83,317111694.03,-2480155.35,,8000000,32551.48,118324.0,27410090.87,35560966.35,26677921.32,17500000,,,,44177921.32,-8616954.97,120000000.0,,4325479.26,136575479.26,-6427132.634,68787500,14665521.76,,16421679.16,99874700.92,36700778.34,451869.33,26055537.35,154104701.4,180160238.75,12250000.0,12250000.0,,185006.87,9097723.06,1264813.56,3494271.32,,,381531.96,64806.73,,1249673.99,2515862.7,-1232373.17,-12559735.39,-43765094.83,22268415.15,,-2480155.35,,,,26055537.35,,,,10838104.88,,180160238.75,154104701.4,,,1
