ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
301018.SZ,20260429,20260429,20260331,1,1,1,,,914197140.72,,,,,,,,,,,,,7455404.65,921652545.37,846185004.04,198093450.32,54267167.66,,,,,,16459396.09,1115005018.11,-193352472.74,,445000000,527562.72,0.0,,445527562.72,101870941.67,295000000,,,,396870941.67,48656621.05,652691935.94,,71687710.12,724379646.06,-407125034.1942,196232135.85,7700995.69,,65689985.0,269623116.54,454756529.52,725019.07,310785696.9,523328270.76,834113967.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
301018.SZ,20260429,20260429,20260331,1,1,1,,,914197140.72,,,,,,,,,,,,,7455404.65,921652545.37,846185004.04,198093450.32,54267167.66,,,,,,16459396.09,1115005018.11,-193352472.74,,445000000,527562.72,0.0,,445527562.72,101870941.67,295000000,,,,396870941.67,48656621.05,652691935.94,,71687710.12,724379646.06,,196232135.85,7700995.69,,65689985.0,269623116.54,454756529.52,725019.07,310785696.9,523328270.76,834113967.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
301018.SZ,20260427,20260427,20251231,1,1,4,225167210.53,25542503.25,3851487068.76,,,,,,,,,,,,,20392402.21,3871879470.97,2665327800.69,553982805.74,147630548.55,,,,,,180000989.27,3546942144.25,324937326.72,,1569000000,1064467.92,1053736.3,,1571118204.22,375352957.67,1692000000,,,,2067352957.67,-496234753.45,990169865.88,,8057077.74,998226943.62,-102626339.5677,642103650.2,69485377.01,,29282059.96,740871087.17,257355856.45,365895.38,86424325.1,436903945.66,523328270.76,,,,75886135.71,85028077.2,8106787.32,5127696.6,,,25289393.37,-190260.32,-1092161.28,2112997.78,-22176405.08,9739814.37,-15224990.58,-616155211.37,487643857.69,,324937326.72,,,,86424325.1,,,,16915637.03,,523328270.76,436903945.66,,,1
301018.SZ,20251030,20251030,20250930,1,1,3,,,2652934992.58,959497.97,,,,,,,,,,,,10387695.57,2664282186.12,2040595009.87,421304852.24,98129346.47,,,,,,109026303.99,2669055512.57,-4773326.45,,1408000000,968556.46,1556898.44,,1410525454.9,308217459.62,1342000000,,,,1650217459.62,-239692004.72,799700659.56,,70022004.15,869722663.71,-444873333.9342,514059317.63,60955791.88,,81347382.76,656362492.27,213360171.44,-17188.42,-31122348.15,436903945.66,405781597.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
301018.SZ,20251030,20251030,20250930,1,1,3,,,2652934992.58,959497.97,,,,,,,,,,,,10387695.57,2664282186.12,2040595009.87,421304852.24,98129346.47,,,,,,109026303.99,2669055512.57,-4773326.45,,1408000000,968556.46,1556898.44,,1410525454.9,308217459.62,1342000000,,,,1650217459.62,-239692004.72,799700659.56,,70022004.15,869722663.71,,514059317.63,60955791.88,,81347382.76,656362492.27,213360171.44,-17188.42,-31122348.15,436903945.66,405781597.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
301018.SZ,20250829,20250829,20250630,1,1,2,153327470.21,11808382.19,1606460116.96,463573.69,,,,,,,,,,,,5203310.03,1612127000.68,1304224280.06,291093516.64,57370131.76,,,,,,70781789.0,1723469717.46,-111342716.78,,915000000,645885.55,282171.78,,915928057.33,181837479.83,918000000,,,,1099837479.83,-183909422.5,563781616.84,,70022004.15,633803620.99,-271307447.4179,236700905.08,31759373.05,,81606066.29,350066344.42,283737276.57,-268202.91,-11783065.62,436903945.66,425120880.04,,,,-25495636.78,35662256.59,3978022.96,320825.58,,,383011.75,20054.27,,-161422.17,3545380.3,-499470.19,-98569631.66,-245155366.16,46843633.64,,-111342716.78,,,,-11783065.62,,,,2935999.76,,425120880.04,436903945.66,,,1
301018.SZ,20250429,20250429,20250331,1,1,1,,,762753175.03,,,,,,,,,,,,,3048296.87,765801471.9,629326903.2,165707893.91,32656445.41,,,,,,27191412.0,854882654.52,-89081182.62,,410000000,298669.78,8160.58,,410306830.36,87784781.71,383000000,,,,470784781.71,-60477951.35,210560000.0,,75827765.46,286387765.46,-229391564.5197,49452492.53,5166743.89,,77127621.92,131746858.34,154640907.12,-191644.9,4890128.25,436903945.66,441794073.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
301018.SZ,20250429,20250429,20250331,1,1,1,,,762753175.03,,,,,,,,,,,,,3048296.87,765801471.9,629326903.2,165707893.91,32656445.41,,,,,,27191412.0,854882654.52,-89081182.62,,410000000,298669.78,8160.58,,410306830.36,87784781.71,383000000,,,,470784781.71,-60477951.35,210560000.0,,75827765.46,286387765.46,,49452492.53,5166743.89,,77127621.92,131746858.34,154640907.12,-191644.9,4890128.25,436903945.66,441794073.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
301018.SZ,20250428,20250428,20241231,1,1,4,111120744.47,23876035.69,2948908395.24,,,,,,,,,,,,,17138969.09,2966047364.33,2135133078.11,476560951.95,67349047.78,,,,,,151684852.96,2830727930.8,135319433.53,,1881000000,6849391.85,376549.2,,1888225941.05,374784096.71,1623000000,,,,1997784096.71,-109558155.66,490520000.0,,28149415.92,518909415.92,106005441.3239,469273650.2,68924966.91,1920000.0,30536686.35,568735303.46,-49825887.54,-20898.82,-24085508.49,460989454.15,436903945.66,240000.0,240000.0,,53908721.13,66806955.62,7741098.63,599807.88,,,967024.77,4707626.56,276496.89,-1401282.28,-4719474.88,-1218290.91,-176552329.04,-486199664.51,518234350.13,,135319433.53,,,,-24085508.49,,,,8538005.38,,436903945.66,460989454.15,,,1
301018.SZ,20241029,20241029,20240930,1,1,3,,,2032360003.81,,,,,,,,,,,,,16125385.11,2048485388.92,1442828913.5,361511301.67,39800746.94,,,,,,149408872.46,1993549834.57,54935554.35,,1474500000,1678698.35,,,1476178698.35,296306771.42,1363000000,,,,1659306771.42,-183128073.07,494472380.82,,74907687.73,569620068.55,-274674238.9149,356301521.44,62727465.64,,83240657.2,502269644.28,67350424.27,-201250.31,-61043344.76,460989454.15,399946109.39,240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
