ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300731.SZ,20260710,53.6,54.97,52.09,52.1,53.98,-1.88,-3.4828,63520.16,341852.36935
300731.SZ,20260709,51.0,54.68,48.37,53.98,50.66,3.32,6.5535,86583.74,446641.0256
300731.SZ,20260708,53.5,54.25,50.62,50.66,53.5,-2.84,-5.3084,59611.82,308594.554
300731.SZ,20260707,52.43,54.49,51.08,53.5,52.74,0.76,1.441,85986.31,453030.74692
300731.SZ,20260706,52.94,55.9,52.7,52.74,53.27,-0.53,-0.9949,76218.04,412638.83028
300731.SZ,20260703,53.2,55.95,53.2,53.27,53.28,-0.01,-0.0188,74163.29,403186.05454
300731.SZ,20260702,54.99,57.49,51.55,53.28,55.47,-2.19,-3.9481,107456.36,585853.42658
300731.SZ,20260701,58.34,62.05,55.11,55.47,58.36,-2.89,-4.952,113659.99,662314.9392
300731.SZ,20260630,55.55,58.63,55.5,58.36,56.03,2.33,4.1585,68845.32,394718.05584
300731.SZ,20260629,57.0,60.97,55.02,56.03,58.35,-2.32,-3.976,102571.6,590208.844
300731.SZ,20260626,59.9,60.68,57.6,58.35,59.18,-0.83,-1.4025,99257.48,586270.14964
300731.SZ,20260625,60.27,62.17,59.0,59.18,60.25,-1.07,-1.7759,74417.15,448412.30364
300731.SZ,20260624,57.51,61.37,56.35,60.25,58.45,1.8,3.0796,81640.35,480751.55138
300731.SZ,20260623,62.0,64.28,57.9,58.45,61.64,-3.19,-5.1752,111673.0,672046.33254
300731.SZ,20260622,63.45,64.7,59.02,61.64,63.4,-1.76,-2.776,118131.94,725439.5464
300731.SZ,20260618,59.93,64.38,59.55,63.4,60.08,3.32,5.526,108325.38,676453.78141
300731.SZ,20260617,60.0,60.25,58.5,60.08,60.2,-0.12,-0.1993,79645.2,471892.7178
300731.SZ,20260616,60.11,61.62,59.93,60.2,59.28,0.92,1.552,92198.44,560359.84062
300731.SZ,20260615,57.13,59.47,55.94,59.28,56.58,2.7,4.772,89813.27,523792.32194
300731.SZ,20260612,57.89,59.09,56.29,56.58,56.74,-0.16,-0.282,68056.2,393351.79677
300731.SZ,20260611,56.79,57.8,54.75,56.74,56.42,0.32,0.5672,60370.8,339242.3264
300731.SZ,20260610,57.38,57.46,55.03,56.42,57.76,-1.34,-2.3199,66159.22,372100.88912
300731.SZ,20260609,54.8,58.26,53.98,57.76,53.6,4.16,7.7612,98271.27,555726.84619
300731.SZ,20260608,56.28,56.44,53.0,53.6,58.42,-4.82,-8.2506,99345.6,543038.779
300731.SZ,20260605,61.09,61.1,58.07,58.42,61.7,-3.28,-5.316,67565.6,401478.93
