ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301018.SZ,20260710,121.34,128.61,119.3,119.56,123.55,-3.99,-3.2295,200341.7,2495793.44178
301018.SZ,20260709,120.0,123.79,112.22,123.55,117.88,5.67,4.81,221475.32,2610004.75454
301018.SZ,20260708,120.45,130.32,117.21,117.88,118.08,-0.2,-0.1694,219610.54,2711436.62648
301018.SZ,20260707,128.0,133.11,117.58,118.08,125.0,-6.92,-5.536,219809.26,2720759.20544
301018.SZ,20260706,117.78,132.0,117.78,125.0,117.78,7.22,6.1301,237004.49,2999045.72713
301018.SZ,20260703,106.48,123.85,106.48,117.78,107.56,10.22,9.5017,277930.62,3273884.47458
301018.SZ,20260702,106.92,115.8,104.0,107.56,109.92,-2.36,-2.147,198756.04,2197171.42294
301018.SZ,20260701,120.0,125.0,108.0,109.92,115.61,-5.69,-4.9217,229005.87,2642104.99373
301018.SZ,20260630,101.0,116.16,100.2,115.61,102.24,13.37,13.0771,217833.35,2415705.10595
301018.SZ,20260629,108.12,111.0,97.02,102.24,108.09,-5.85,-5.4122,182805.74,1885163.81773
301018.SZ,20260626,112.0,115.92,107.0,108.09,114.91,-6.82,-5.9351,178185.42,1970218.99508
301018.SZ,20260625,114.66,123.8,113.22,114.91,112.9,2.01,1.7803,220233.15,2597014.63789
301018.SZ,20260624,108.5,115.08,106.0,112.9,110.53,2.37,2.1442,199487.46,2216468.09642
301018.SZ,20260623,118.0,124.28,109.74,110.53,109.9,0.63,0.5732,256168.64,2943109.05416
301018.SZ,20260622,116.3,119.97,106.12,109.9,116.31,-6.41,-5.5111,231448.26,2568997.01008
301018.SZ,20260618,114.51,121.86,114.03,116.31,112.77,3.54,3.1391,218520.15,2566450.94019
301018.SZ,20260617,108.52,113.99,107.01,112.77,110.15,2.62,2.3786,181556.37,2007207.57019
301018.SZ,20260616,108.51,114.5,107.01,110.15,109.18,0.97,0.8884,159411.64,1778506.71929
301018.SZ,20260615,99.5,109.42,99.5,109.18,98.2,10.98,11.1813,166152.73,1747329.7115
301018.SZ,20260612,101.0,102.08,96.7,98.2,97.59,0.61,0.6251,140162.61,1387767.86244
301018.SZ,20260611,101.46,102.0,95.66,97.59,100.85,-3.26,-3.2325,101196.86,991184.23424
301018.SZ,20260610,102.83,105.77,99.03,100.85,104.0,-3.15,-3.0288,126763.25,1287293.66849
301018.SZ,20260609,94.0,104.98,93.36,104.0,91.54,12.46,13.6115,201812.72,2031084.41221
301018.SZ,20260608,94.38,95.55,89.82,91.54,97.47,-5.93,-6.0839,129783.51,1203352.484
301018.SZ,20260605,101.61,102.99,96.43,97.47,102.99,-5.52,-5.3597,127465.18,1269037.918
301018.SZ,20260604,97.55,105.0,96.51,102.99,97.41,5.58,5.7284,137323.2,1381609.03
301018.SZ,20260603,100.88,102.58,96.31,97.41,98.9,-1.49,-1.5066,129717.12,1297422.329
301018.SZ,20260602,95.89,101.19,94.5,98.9,94.77,4.13,4.3579,137549.57,1347328.46
301018.SZ,20260601,144.01,145.01,131.98,132.93,143.3,-10.37,-7.2366,108246.57,1480433.32
301018.SZ,20260529,155.99,157.24,141.0,143.3,154.85,-11.55,-7.4588,101498.01,1483473.214
301018.SZ,20260528,151.66,155.1,148.5,154.85,152.03,2.82,1.8549,85353.97,1300386.77
301018.SZ,20260527,155.89,159.99,150.1,152.03,156.61,-4.58,-2.9245,77779.27,1204305.273
301018.SZ,20260526,164.6,166.0,153.0,156.61,167.29,-10.68,-6.3841,112979.43,1781507.493
301018.SZ,20260525,170.0,170.0,159.19,167.29,168.18,-0.89,-0.5292,126430.58,2074389.224
301018.SZ,20260522,157.59,169.86,155.0,168.18,154.5,13.68,8.8544,122932.17,2004533.204
301018.SZ,20260521,163.19,168.88,153.0,154.5,163.22,-8.72,-5.3425,133535.44,2157966.599
301018.SZ,20260520,144.37,165.34,144.37,163.22,144.36,18.86,13.0646,154041.58,2389133.029
301018.SZ,20260519,138.01,145.89,133.5,144.36,139.04,5.32,3.8262,117335.54,1665020.216
301018.SZ,20260518,130.02,144.58,128.71,139.04,131.81,7.23,5.4852,138423.43,1911200.339
301018.SZ,20260515,135.67,140.0,129.78,131.81,133.1,-1.29,-0.9692,148345.18,2004819.43
301018.SZ,20260514,142.05,142.05,132.26,133.1,139.95,-6.85,-4.8946,129097.09,1749509.594
301018.SZ,20260513,134.98,140.88,131.44,139.95,136.26,3.69,2.7081,163275.34,2249982.626
301018.SZ,20260512,136.7,137.91,133.0,136.26,136.71,-0.45,-0.3292,89508.62,1213258.595
301018.SZ,20260511,135.6,140.08,129.87,136.71,135.7,1.01,0.7443,120123.98,1632568.022
301018.SZ,20260508,135.0,137.2,133.3,135.7,136.68,-0.98,-0.717,105239.95,1424239.443
301018.SZ,20260507,120.94,138.0,116.69,136.68,119.55,17.13,14.3287,197316.77,2567085.607
301018.SZ,20260506,118.4,121.4,117.0,119.55,116.81,2.74,2.3457,103817.09,1239558.928
301018.SZ,20260430,116.99,118.79,111.8,116.81,116.52,0.29,0.2489,120868.96,1394664.007
301018.SZ,20260429,115.96,125.0,115.26,116.52,122.5,-5.98,-4.8816,154990.67,1849218.278
301018.SZ,20260428,124.61,126.69,120.3,122.5,125.54,-3.04,-2.4215,92396.8,1139096.499
301018.SZ,20260427,125.01,128.28,122.3,125.54,123.79,1.75,1.4137,99501.07,1246055.696
