ts_code,end_date,ann_date,div_proc,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_listdate,imp_ann_date
002837.SZ,20251231,20260421,预案,0.3,,0.3,0.0,0.17,,,,,
002837.SZ,20251231,20260421,股东大会通过,0.3,,0.3,0.0,0.17,,,,,
002837.SZ,20251231,20260513,实施,0.3,,0.3,0.17,0.17,20260529,20260601,20260601,20260601,20260523
002837.SZ,20250630,20250819,预案,0.0,,,0.0,0.0,,,,,
002837.SZ,20250630,,股东大会通过,0.0,,,,,,,,,
002837.SZ,20241231,20250422,预案,0.3,,0.3,0.0,0.2,,,,,
002837.SZ,20241231,20250422,股东大会通过,0.3,,0.3,0.0,0.2,,,,,
002837.SZ,20241231,20250422,实施,0.3,,0.3,0.2,0.2,20250529,20250530,20250530,20250530,20250523
002837.SZ,20240630,20240813,预案,0.0,,,0.0,0.0,,,,,
002837.SZ,20231231,20240416,预案,0.3,,0.3,0.0,0.2,,,,,
002837.SZ,20231231,20240416,股东大会通过,0.3,,0.3,0.0,0.2,,,,,
002837.SZ,20231231,20240416,实施,0.3,,0.3,0.2,0.2,20240524,20240527,20240527,20240527,20240518
002837.SZ,20230630,20230822,预案,0.0,,,0.0,0.0,,,,,
002837.SZ,20221231,20230411,预案,0.3,,0.3,0.0,0.19,,,,,
002837.SZ,20221231,20230411,股东大会通过,0.3,,0.3,0.0,0.19,,,,,
002837.SZ,20221231,20230411,实施,0.3,,0.3,0.19,0.19,20230518,20230519,20230519,20230519,20230513
002837.SZ,20220630,20220809,预案,0.0,,,0.0,0.0,,,,,
002837.SZ,20211231,20220426,预案,0.3,,0.3,0.0,0.18,,,,,
002837.SZ,20211231,20220426,股东大会通过,0.3,,0.3,0.0,0.18,,,,,
002837.SZ,20211231,20220426,实施,0.3,,0.3,0.18,0.18,20220530,20220531,20220531,20220531,20220525
002837.SZ,20210630,20210803,预案,0.0,,,0.0,0.0,,,,,
002837.SZ,20201231,20210427,预案,0.0,,,0.0,0.18,,,,,
002837.SZ,20201231,20210427,股东大会通过,0.0,,,0.0,0.18,,,,,
002837.SZ,20201231,20210427,实施,0.0,,,0.18,0.18,20210526,20210527,20210527,,20210520
002837.SZ,20200630,20200728,预案,0.0,,,0.0,0.0,,,,,
002837.SZ,20191231,20200428,预案,0.5,,0.5,0.0,0.23,,,,,
002837.SZ,20191231,20200428,股东大会通过,0.5,,0.5,0.0,0.23,,,,,
002837.SZ,20191231,20200428,实施,0.5,,0.5,0.23,0.23,20200528,20200529,20200529,20200529,20200522
002837.SZ,20190630,20190827,预案,0.0,,,0.0,0.0,,,,,
002837.SZ,20181231,20190410,预案,0.0,,,0.0,0.15,,,,,
002837.SZ,20181231,20190410,股东大会通过,0.0,,,0.0,0.15,,,,,
002837.SZ,20181231,20190410,实施,0.0,,,0.15,0.15,20190516,20190517,20190517,,20190509
002837.SZ,20180630,20180814,预案,0.0,,,0.0,0.0,,,,,
002837.SZ,20171231,20180206,实施,0.0,,,0.06,0.06,20180315,20180316,20180316,,20180309
002837.SZ,20161231,20170425,实施,1.4617745,,1.4617745,0.2923549,0.2923549,20170531,20170601,20170601,20170601,20170523
