ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
300499.SZ,20260424,20260331,0.05,0.05,0.6944,0.6944,1.1794,0.2321,2.1497,897633.35,14243129.2,65031087.03,1.8741,1.0099,0.9164,0.4999,0.1503,1.0776,0.0955,7037206.89,18919446.54,,-106338423.925,-106338423.925,744273807.09,62769583.21,13407750.47,-171229083.62,1248625848.36,658697445.62,483348951.13,1425097760.37,727044039.1,0.0496,4.5615,-0.3685,2.3818,-0.3655,0.062,-0.3484,-0.3484,8.1749,30.682,69.318,24.0976,8.1749,6.7459,17.237,0.1147,0.3493,96.6798,8.983,8.9263,1.0933,1.09,1.0285,0.8522,0.7804,1.2234,4.3732,3.4088,36.7562,1.5812,1.6032,63.2693,36.7307,55.9385,0.9408,97.7049,91.8473,8.1527,-0.1493,0.5812,1.6971,103.8497,1.5219,93.1272,,-0.1371,553.9454,3.1216,0.682,226679408.63,8.9564,6.7459,96.6798,1.0933,1.0285,0.7804,-53.069,25.0,25.0,-53.35,63.6815,63.7067,16.5492,50.59,-53.377,14.2194,1.0993,1.0881,1.0993,-2.7746,-2.7746,-2.7746,-47.6081,2.0398
300499.SZ,20260424,20251231,0.09,0.09,3.2404,3.2404,1.1794,0.2321,2.1001,-27398733.39,55781819.77,286248146.92,1.8789,1.1503,1.0576,2.5567,0.7924,4.874,0.4839,17576083.33,64341629.38,106037008.09,135297629.8953,135297629.8953,748388568.47,61760808.99,3602479.26,-280486914.04,1232832843.83,658705385.6,375675907.19,1397965673.26,711903276.55,0.093,4.5119,0.3632,2.3322,0.5721,0.2108,0.4432,0.4432,2.796,28.9396,71.0604,24.726,2.796,7.0355,17.7431,-0.0526,-0.6452,98.2231,6.5533,6.5049,2.0802,2.08,4.0884,3.1475,1.3529,1.999,2.0802,3.1475,36.8528,1.5836,1.4983,63.7718,36.2282,55.8319,0.2577,98.5181,92.0979,7.9021,0.1479,0.5836,1.6925,382.3061,1.515,342.2179,,0.1362,379.565,1.3529,1.3885,228948238.25,6.4843,5.8691,93.1003,-0.4238,2.1138,-0.1285,-0.7022,156.25,156.25,262.5056,231.7084,227.7959,156.4028,194.43,262.4563,155.351,1.8994,17.4319,1.9004,43.0892,43.0892,21.7712,306.0934,1.9004
300499.SZ,20251025,20250930,0.11,0.11,1.9256,1.9256,1.1834,0.2184,2.133,7639733.17,26595226.87,163379191.46,1.8599,1.1161,0.9109,1.6383,0.4882,2.8996,0.2932,-10115473.24,28126702.17,,56407980.81,62404780.81,701957403.92,18893406.86,10389651.43,-198260851.24,1236922454.82,610110589.38,408989997.21,1408763534.86,717755150.21,0.1122,4.5351,0.3724,2.3514,0.3207,0.0921,0.1848,0.2044,5.1791,27.7961,72.2039,28.1308,5.1791,7.832,20.4117,-0.1128,-0.5904,101.721,4.8452,4.7853,2.5027,2.5,1.9442,1.4028,1.5183,2.0187,3.3369,1.8704,34.3368,1.5229,1.4657,61.9642,38.0358,58.082,0.7375,98.2653,97.0252,2.9748,0.1602,0.5229,1.8931,133.2409,1.6915,119.0533,,0.1555,455.3775,2.0244,1.7075,233853290.61,4.7494,10.8494,103.1589,0.8194,0.6349,0.47,21.9008,283.3333,283.3333,233.1427,193.3908,188.9132,293.9754,204.09,233.1585,293.9631,2.4233,13.2571,2.4239,62.5161,62.5161,115.0958,13.3007,0.0063
300499.SZ,20251025,20250930,0.11,0.11,1.9256,1.9256,1.1834,0.2184,2.133,7639733.17,26595226.87,163379191.46,1.8599,1.1161,0.8296,1.6383,0.4882,2.8996,0.2932,-10115473.24,28126702.17,,,,701957403.92,18893406.86,10389651.43,-198260851.24,1236922454.82,610110589.38,408989997.21,1408763534.86,717755150.21,0.1122,4.5351,0.3724,2.3514,0.3207,0.0921,,,5.1791,27.7961,72.2039,28.1308,5.1791,7.832,20.4117,-0.1128,-0.5904,101.721,4.8452,4.7853,2.5027,2.5,1.9442,1.4028,1.5183,2.0187,3.3369,1.8704,34.3368,1.5229,1.4657,61.9642,38.0358,58.082,0.7375,98.2653,97.0252,2.9748,0.1602,0.5229,1.8931,133.2409,1.6915,119.0533,,0.1555,455.3775,2.0244,1.7075,233853290.61,4.7494,10.8494,103.1589,0.8194,0.6349,0.47,21.9008,283.3333,283.3333,233.1427,193.3908,188.9132,293.9754,204.09,233.1585,293.9631,2.4233,13.2571,2.4239,62.5161,62.5161,115.0958,13.3007,0.0063
300499.SZ,20250823,20250630,0.08,0.08,1.3686,1.3686,1.1882,0.2184,2.0959,5093589.1,17837907.55,102795077.44,2.0773,1.3222,1.0815,1.1976,0.3688,2.0454,0.2164,-4744388.92,19582581.61,36077150.28,44712597.95,50709397.95,558676580.19,18658387.05,11154612.77,-164850717.31,1227010138.06,610296476.59,442146401.43,1402681842.32,706451686.82,0.0751,4.5029,0.2504,2.3143,0.2244,0.0642,0.1465,0.1661,4.9755,24.607,75.393,24.6761,4.9755,6.6039,18.2707,-0.1984,-0.3224,101.1357,4.6752,4.6877,1.6824,1.68,1.3087,1.0145,1.0769,1.4086,3.3648,2.029,29.7214,1.4229,1.4161,59.4353,40.5647,61.9697,0.7952,97.9906,96.2688,3.7312,0.1349,0.4229,2.3356,123.2223,2.085,110.0002,,0.1299,383.4914,2.1538,1.1881,238814526.54,4.6504,8.2314,101.1602,0.7258,0.6119,0.4579,74.9808,900.0,900.0,213.5601,358.5398,328.6819,1438.5655,336.05,213.5834,1463.5717,1.6961,5.3012,1.6967,47.8098,47.8098,92.0933,-32.0988,-1.8339
300499.SZ,20250425,20250331,0.04,0.04,0.7142,0.7142,1.1882,0.2184,2.0634,3532651.71,9458220.4,54812901.83,2.1937,1.4481,1.1896,0.5948,0.1984,1.0581,0.115,-2426876.15,11670129.0,,-99729025.26,-93732225.26,467547991.77,18394748.31,41195992.33,-22323754.2,1217512509.83,603694794.39,578371653.05,1423817283.07,696511062.28,0.0426,4.4703,-0.2403,2.2818,-0.1443,0.0382,-0.3267,-0.3071,5.4492,25.1435,74.8565,21.5869,5.4492,5.1126,16.6551,-0.1808,-0.7232,101.1132,5.3358,5.3533,0.9566,0.96,0.6965,0.6158,0.6269,0.8331,3.8264,2.4632,27.6024,1.3813,1.3954,58.0931,41.9069,63.7521,2.8933,95.8379,95.9415,4.0585,-0.145,0.3813,2.5886,33.1235,2.3097,29.5541,,-0.1391,361.8377,2.5076,0.6855,240690163.17,5.3192,5.1126,101.1132,0.9566,0.6965,0.6269,-33.6403,100.0,100.0,-14.1568,108.7541,134.3132,131.0114,246.43,-14.108,138.2833,0.9598,1.5648,0.9612,22.0329,22.0329,22.0329,162.137,-3.0518
300499.SZ,20250425,20241231,-0.16,-0.16,2.2646,2.2646,1.1882,0.2184,2.0208,8751691.76,-59073779.88,166086707.93,2.2362,1.4959,1.2233,2.1852,0.6653,3.5853,0.3737,-82611620.59,-50612998.1,-14188426.02,-234606034.7,-258755690.2,483646094.67,18859310.22,7088891.81,-116430550.38,1204428785.74,601716449.46,481314478.1,1377830928.03,683520190.17,-0.1649,4.4278,-0.2235,2.2392,-0.528,-0.1658,-0.7686,-0.8477,-7.1772,24.0265,75.9735,32.6647,-7.1772,8.8134,23.7963,0.055,-1.5707,111.9508,-7.1195,-7.3218,-3.6552,-3.66,-4.2909,-2.7363,-2.6822,-3.6089,-3.6552,-2.7363,27.1012,1.3718,1.3435,57.8875,42.1125,64.0539,0.5145,98.0937,95.5198,4.4802,-0.1402,0.3718,2.6522,190.6596,2.3635,169.9037,,-0.1339,399.7622,-2.6822,-2.7206,244058222.0,-7.2603,6.1155,109.2026,-2.3885,-2.4508,-1.7388,5.1975,-60.0,-60.0,-238.2189,-31.1667,-30.8463,-58.1177,-78.63,-238.2455,-64.0048,-3.5884,3.3693,-3.5896,20.5757,20.5757,94.0447,18.3977,-3.5896
300499.SZ,20241025,20240930,-0.06,-0.06,1.1849,1.1849,1.1882,0.2184,2.1278,7900337.39,-25549460.12,101136137.62,2.2951,1.2713,1.0406,1.356,0.3721,2.0196,0.1977,-52280754.97,-31966335.12,,-173127939.61,-194677595.11,409596751.21,17333450.32,9610650.95,-124956057.97,1226302226.48,538601806.7,410314591.99,1412693627.24,716193155.56,-0.0578,4.5348,-0.2797,2.3463,-0.5468,-0.1047,-0.5672,-0.6378,-4.7756,27.9634,72.0366,41.2032,-4.7756,11.2719,29.9545,-0.0231,0.2716,114.4552,-8.4316,-8.8384,-1.2669,-1.27,-1.834,-1.7474,-0.9442,-2.2513,-1.6892,-2.3299,23.7299,1.3111,1.3132,51.8844,48.1156,66.6605,0.6803,97.9857,95.2663,4.7337,-0.2053,0.3111,3.1709,144.0317,2.8091,127.5982,,-0.1956,582.4199,-1.2589,-0.9648,248802942.6,-8.6809,22.3122,140.8289,-1.1447,-1.2924,-0.8624,-22.8624,-200.0,-200.0,-197.237,-1055.8847,-1049.8262,-256.0031,-143.32,-194.0955,-265.4211,-1.2585,1.1312,-1.259,-10.3548,-10.3548,-44.8287,-74.7686,-2.5773
300499.SZ,20240823,20240630,-0.01,-0.01,0.9259,0.9259,1.1882,0.2184,2.18,5843708.22,-7556847.94,78590975.31,2.7804,1.864,1.5797,1.0069,0.2993,1.5773,0.1579,-20006104.21,-8891087.62,12096421.0,-120579178.92,-141030904.47,316651361.68,17383303.39,9468991.43,-150885741.18,1250972483.6,575625993.77,421923921.3,1427147532.79,732129138.57,-0.0056,4.587,-0.2205,2.3985,-0.4462,-0.0291,-0.395,-0.462,-0.6174,27.8075,72.1925,31.6757,-0.6174,8.1839,23.418,0.0738,0.2972,107.0787,-2.6728,-3.1459,-0.1223,-0.12,-0.5394,-0.4967,-0.0975,-0.623,-0.2446,-0.9934,19.5042,1.2423,1.2777,51.0413,48.9587,71.0303,0.6635,98.11,94.1195,5.8805,-0.2081,0.2423,4.0762,147.8694,3.6418,132.1125,,-0.1959,449.2398,-0.195,-0.0957,240388910.77,-3.0058,14.4072,119.2622,-0.5226,-0.7328,-0.4323,-2.9103,0.0,0.0,-681.9149,-356.744,-391.6426,23.2968,-22.12,-673.1763,22.0337,-0.1219,-3.181,-0.1222,8.6303,8.6303,-5.0007,-335.5693,-1.6201
300499.SZ,20240426,20240331,0.02,0.02,0.5852,0.5852,1.1882,0.2184,2.2041,2893273.8,2730203.74,43550136.88,2.9208,2.1498,1.7295,0.6293,0.1877,0.9888,0.0998,23605.42,4754963.71,,-113317496.74,-133162234.1,302062569.53,17904496.69,15407116.68,-172235775.57,1261920359.3,601287509.86,424626774.19,1440698774.13,739465755.83,0.0184,4.611,-0.2105,2.4225,-0.3746,0.0156,-0.3712,-0.4362,3.2849,24.3786,75.6214,20.921,3.2849,4.5614,16.0988,0.2608,1.005,99.9868,3.1192,2.6617,0.4003,0.4,0.1944,0.2657,0.3279,0.3316,1.6012,1.0628,19.0481,1.2353,1.2742,51.931,48.069,71.6729,1.0694,97.6964,93.3419,6.6581,-0.2053,0.2353,4.1968,91.3546,3.7627,81.905,,-0.1916,328.3537,1.3116,0.3142,231800993.1,2.7703,4.5614,99.9868,0.4003,0.1944,0.3279,-35.9767,200.0,200.0,-102.5987,190.9819,180.6581,197.2901,136.58,-100.4696,200.7827,0.4006,-3.2094,0.4011,18.53,18.53,18.53,115.974,-3.4655
