ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
300602.SZ,20260428,20260331,0.13,0.13,2.8249,2.8249,2.6008,0.3458,3.1871,-16969439.21,94326394.57,343571449.24,1.2821,0.9831,0.9631,0.602,0.2923,0.735,0.174,100869870.85,99294940.83,,-343507209.4373,-440587788.0573,3310467270.55,298899798.95,1600713391.58,772086925.63,3308722399.7,1250542943.63,1377444010.54,5883892052.05,2055641924.88,0.1329,7.1321,-0.0411,3.5329,-0.5987,0.1706,-0.5904,-0.7572,4.7959,20.9021,79.0979,13.3908,4.7959,1.9404,10.2169,1.2334,-1.0449,93.8633,5.5167,6.0409,1.8853,1.89,2.2988,1.051,0.8344,1.5051,7.5412,4.204,54.8819,2.2164,2.3024,59.8642,40.1358,34.8534,27.205,70.5296,85.0758,14.9242,-0.0054,1.2164,0.7965,2.5925,0.6351,2.067,4.2854,-0.0046,233.9295,3.3376,0.8188,2786892348.5,5.5052,1.9404,93.8633,1.8853,2.2988,0.8344,-1.4535,30.0,30.0,58.4848,67.0083,66.8076,33.9196,160.66,58.3892,20.5315,2.3007,0.9764,2.3009,39.146,39.146,39.146,198.7996,11.1075
300602.SZ,20260428,20251231,0.63,0.62,11.2169,11.2169,2.5455,0.3458,3.0817,48128130.15,316432095.42,1270877305.11,1.2488,0.9989,0.9832,2.678,1.2762,3.3168,0.7562,279492277.49,388487905.49,691122939.74,266806641.35,333832720.78,3490260462.81,300877488.5,1421721623.01,452472326.53,3179020331.64,1108635453.52,1062900533.23,5610328930.35,1994353136.45,0.6265,6.9717,0.751,3.4275,-0.4305,0.6677,0.4585,0.5737,5.5076,19.472,80.528,12.5198,5.5076,1.8439,10.0914,0.5845,-1.4294,95.7177,5.4546,5.9523,9.1662,9.33,7.9561,4.501,4.1647,7.1277,9.1662,4.501,55.4473,2.2445,2.1701,59.1849,40.8151,33.8141,25.3411,72.305,85.4735,14.5265,0.0981,1.2445,0.7782,2.8533,0.6098,2.236,7.0259,0.0838,204.7124,4.1647,4.2238,2798997958.15,5.466,1.6031,99.5733,1.9534,1.7035,0.5935,-1.4065,61.5385,58.9744,23.7436,22.5377,25.2761,59.9686,60.89,10.7204,57.0089,3.7394,15.9931,1.885,24.743,24.743,13.7149,-78.8842,1.885
300602.SZ,20251029,20250930,0.4934,0.491,7.9353,7.9353,2.549,0.3044,2.9718,38101998.54,248069619.01,934086632.27,1.3561,1.0635,1.0481,2.0528,0.9298,2.4959,0.5541,271345540.72,347475251.66,,-36316440.9182,43046649.6318,2893341108.55,294430764.23,1496268784.09,417245542.5,3191537556.37,1383452639.35,1246147156.38,5617076861.87,1906316065.37,0.4918,6.8221,0.7972,3.2762,-0.3342,0.5972,-0.0624,0.074,6.615,20.2302,79.7698,12.0144,6.615,1.9435,9.6694,0.4015,-1.3388,94.1233,7.053,7.5255,7.2749,7.37,6.3063,4.17,3.6654,6.0045,9.6999,5.56,53.1984,2.1367,2.1183,59.8328,40.1672,36.2475,26.6379,70.6688,82.9356,17.0644,0.1194,1.1367,0.8475,2.6529,0.6814,2.133,7.6491,0.099,207.5905,4.8872,3.4343,2628665139.99,7.0191,1.8723,92.5249,3.0789,2.8739,1.5232,10.0383,118.222,117.5454,473.5252,112.2652,115.2822,119.3642,110.29,391.5368,164.5711,1.5133,8.6322,-0.3009,29.9548,29.9548,34.3943,12.5973,4.2615
300602.SZ,20251029,20250930,0.4934,0.491,7.9353,7.9353,2.549,0.3044,2.9718,38101998.54,248069619.01,934086632.27,1.3561,1.0635,0.9683,2.0528,0.9298,2.4959,0.5541,271345540.72,347475251.66,,,,2893341108.55,294430764.23,1496268784.09,417245542.5,3191537556.37,1383452639.35,1295827156.38,5617076861.87,1906316065.37,0.4918,6.8221,0.7972,3.2762,-0.3342,0.5972,,,6.615,20.2302,79.7698,12.0144,6.615,1.9435,9.6694,0.4015,-1.3388,94.1233,7.053,7.5255,7.2749,7.37,6.3063,4.17,3.6654,6.0045,9.6999,5.56,53.1984,2.1367,2.1183,59.8328,40.1672,36.2475,26.6379,70.6688,82.9356,17.0644,0.1194,1.1367,0.8475,2.6529,0.6814,2.133,7.6491,0.099,207.5905,4.8872,3.4343,2628665139.99,7.0191,1.8723,92.5249,3.0789,2.8739,1.5232,10.0383,118.222,117.5454,473.5252,112.2652,115.2822,119.3642,110.29,391.5368,164.5711,1.5133,12.0094,1.8381,29.9548,29.9548,34.3943,12.5973,4.2615
300602.SZ,20250819,20250630,0.2864,0.2857,4.955,4.955,2.5153,0.3044,2.7654,30107185.12,135981726.77,564465166.34,1.329,1.0262,1.0109,1.3057,0.6112,1.6746,0.3567,141716099.33,194525312.61,345709627.31,-58435340.3752,35927750.1748,2636427237.23,285391813.14,1441854138.23,597060722.16,3088108976.4,1181181554.98,1283095939.04,5381781000.94,1786233359.71,0.2854,6.5838,0.498,3.0698,-0.5727,0.3343,-0.1004,0.0617,6.0745,19.5781,80.4219,11.6441,6.0745,1.9863,9.4196,0.2382,-1.8879,95.0847,6.3103,6.747,4.298,4.43,3.5189,2.4068,2.167,3.5284,8.596,4.8136,52.5516,2.1076,2.0915,57.4621,42.5379,37.19,26.7914,71.182,82.2758,17.7242,0.0807,1.1076,0.8779,2.6569,0.7077,2.1418,5.1722,0.0664,216.4803,4.334,2.055,2595383434.14,6.2759,1.9461,93.4832,2.8635,2.638,1.396,20.4011,117.9604,117.7591,606.383,84.7224,89.2432,118.5395,98.36,729.926,188.1637,-2.0326,2.4479,-3.7835,27.423,27.423,38.0133,135.0836,1.9199
300602.SZ,20250416,20250331,0.0996,0.0993,2.0367,2.0367,2.5196,0.3054,2.6255,21576439.91,36187291.48,206991714.06,1.403,1.0693,1.0528,0.5999,0.2544,0.688,0.1501,30808934.9,61325837.52,,-310662674.99,-239341674.99,2270918914.77,286998327.62,1501960245.01,587644732.16,2978120613.08,1328362726.64,1439591077.81,5320875232.03,1699948416.53,0.0996,6.4396,-0.099,2.9309,-0.6053,0.1057,-0.5356,-0.4127,5.2643,17.5226,82.4774,12.9914,5.2643,2.0443,10.7367,0.2104,-2.1987,97.3919,4.5963,5.1914,1.5135,1.48,0.9482,0.7793,0.7902,1.1558,6.054,3.1172,51.5292,2.0631,2.0621,58.6997,41.3003,37.7992,28.2277,70.1956,81.1961,18.8039,-0.0174,1.0631,0.92,2.4868,0.7335,1.9828,5.0679,-0.0141,244.1673,3.1608,0.734,2370663673.89,4.5923,2.0443,97.3919,1.5135,0.9482,0.7902,-4.8603,84.7866,84.2301,-252.3132,28.5992,30.4852,85.5683,30.28,-218.5522,144.832,-4.1783,-2.7933,-6.1906,14.7388,14.7388,14.7388,-52.3344,-0.177
300602.SZ,20250416,20241231,0.33,0.33,8.6737,8.6737,2.9779,0.3054,2.4481,31325216.82,157565060.54,964725446.95,1.479,1.1814,1.1701,2.6291,1.1314,2.9042,0.6601,180592855.13,231148024.72,573092646.36,69562514.255,-306622472.925,2277401386.34,292880039.84,1308018934.26,126611810.27,3152636679.88,1510399789.48,1204889956.97,5290533656.6,1597015007.81,0.3257,6.7204,0.6069,2.7534,-0.1101,0.3985,0.1199,-0.5287,3.4436,19.1764,80.8236,12.859,3.4436,2.2849,10.6153,-0.0412,-1.6736,96.4102,4.3003,4.5947,4.953,4.96,4.1316,3.0328,2.273,3.6371,4.953,3.0328,49.3371,1.9738,1.9985,59.3284,40.6716,40.1057,24.7238,73.6763,81.3062,18.6938,0.1116,0.9738,1.005,2.98,0.8129,2.4102,24.9,0.0908,214.2702,2.273,2.4783,2337780458.11,4.1886,2.0801,94.765,2.2101,1.7167,1.0896,16.8797,73.6842,73.6842,-40.6048,142.6239,132.877,83.0081,92.81,-40.3992,75.0981,4.1648,6.4781,4.5175,15.7583,15.7583,12.1624,176.5676,4.5175
300602.SZ,20241030,20240930,0.1798,0.1795,5.9016,5.9016,3.0084,0.2779,2.2848,12314827.16,91428480.5,625257870.12,1.5615,1.2282,1.1085,2.0088,0.7806,1.986,0.4571,96424763.67,112550445.87,,-345453941.7151,-432867683.8751,1842304674.52,340315790.51,1517565101.1,142725104.37,3004848022.04,1632718176.29,1323402839.78,5410317733.66,1486384008.72,0.1789,6.5642,0.139,2.5627,0.0802,0.1941,-0.5956,-0.7463,2.6015,18.2665,81.7335,13.7739,2.6015,2.3812,11.0636,0.3291,-1.267,97.183,2.9925,3.2881,2.753,2.75,2.4262,1.5031,1.1893,1.9024,3.6707,2.0041,48.7319,1.9505,1.987,59.7996,40.2004,39.5742,28.0495,70.3706,78.586,21.414,0.0277,0.9505,1.0289,2.5088,0.8121,1.98,21.0534,0.0218,220.191,1.5857,1.3855,2123644701.89,2.9124,2.2097,96.9108,1.2475,1.1188,0.5474,3.1696,99.556,99.2231,-76.4766,159.4904,146.2052,111.2572,225.15,-76.393,102.4679,1.7437,2.8496,2.0881,17.5281,17.5281,10.518,12.6713,4.3411
300602.SZ,20240820,20240630,0.098,0.0978,3.7397,3.7397,3.0032,0.2779,2.2118,7447015.67,49104249.67,387339732.18,1.5472,1.2206,1.0545,1.3532,0.5092,1.2521,0.2936,57687778.8,71435679.39,240797098.33,21325313.1316,-83456341.2384,1847863960.85,337358608.47,1355299586.95,48467226.55,2939056857.71,1517238791.03,1135360366.95,5206287425.49,1444034277.02,0.0975,6.4804,0.0705,2.4897,-0.0881,0.1232,0.0368,-0.1439,2.2146,17.8576,82.1424,13.9226,2.2146,2.4803,11.5141,-0.0718,-1.4785,97.3404,2.8236,3.2934,1.5104,1.51,1.3115,0.967,0.6503,1.1303,3.0208,1.934,47.8998,1.9194,1.973,58.0403,41.9597,39.7626,26.032,72.1953,78.3166,21.6834,0.0147,0.9194,1.0616,2.7733,0.8301,2.1686,60.6401,0.0116,219.6064,1.3006,0.7655,2127810455.92,2.7005,2.2894,96.7959,0.8777,0.766,0.427,4.8146,1189.4737,1186.8421,-84.2282,731.8779,684.3142,1307.1335,560.52,-84.1742,1247.317,0.4448,0.1212,0.7856,22.0018,22.0018,18.1145,48.0584,4.4397
300602.SZ,20240820,20240630,0.098,0.0978,3.7397,3.7397,3.0032,0.2779,2.2118,7447015.67,49104249.67,387339732.18,1.5472,1.2206,1.0545,1.3532,0.5092,1.2521,0.2936,57687778.8,71435679.39,240797098.33,,,1847863960.85,337358608.47,1355299586.95,48467226.55,2939056857.71,1517238791.03,1135360366.95,5206287425.49,1444034277.02,0.0975,6.4804,0.0705,2.4897,-0.0881,0.1232,,,2.2146,17.8576,82.1424,13.9226,2.2146,2.4803,11.5141,-0.0718,-1.4785,97.3404,2.8236,3.2934,1.5104,1.51,1.3115,0.967,0.6503,1.1303,3.0208,1.934,47.8998,1.9194,1.973,58.0403,41.9597,39.7626,26.032,72.1953,78.3166,21.6834,0.0147,0.9194,1.0616,2.7733,0.8301,2.1686,60.6401,0.0116,219.6064,1.3006,0.7655,2127810455.92,2.7005,2.2894,96.7959,0.8777,0.766,0.427,4.8146,1189.4737,1186.8421,-84.2282,731.8779,684.3142,1307.1335,560.52,-84.1742,1247.317,0.4448,0.1212,0.7856,22.0018,22.0018,18.1145,48.0584,4.4397
