ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
002837.SZ,20251231,轨道交通列车空调及服务,44912639.85,,,CNY
002837.SZ,20251231,机房温控节能设备,3448477492.62,977827266.53,2470650226.09,CNY
002837.SZ,20251231,户外机柜温控节能设备,1977423139.19,538639525.94,1438783613.25,CNY
002837.SZ,20251231,客车空调,90266641.17,,,CNY
002837.SZ,20251231,其他主营业务,506679178.72,,,CNY
002837.SZ,20251231,精密温控节能设备(行业),6067759091.55,1690633310.57,4377125780.98,CNY
002837.SZ,20251231,国外,849189781.86,447026656.33,402163125.53,CNY
002837.SZ,20251231,中国大陆,5218569309.69,1243606654.24,3974962655.45,CNY
002837.SZ,20251231,直销,5900958450.73,1620837415.5,4280121035.23,CNY
002837.SZ,20251231,分销,166800640.82,69795895.07,97004745.75,CNY
002837.SZ,20250630,轨道交通列车空调及服务,23901218.0,,,CNY
002837.SZ,20250630,机房温控节能设备,1351007507.37,349013640.43,1001993866.94,CNY
002837.SZ,20250630,新能源车用空调,19364828.55,,,CNY
002837.SZ,20250630,户外机柜温控节能设备,926224789.54,260186538.84,666038250.7,CNY
002837.SZ,20250630,客车空调,19364828.55,,,CNY
002837.SZ,20250630,其他主营业务,252641117.44,,,CNY
002837.SZ,20250630,精密温控节能设备(行业),2573139460.9,672766219.1,1900373241.8,CNY
002837.SZ,20250630,国外,259115424.26,141072082.82,118043341.44,CNY
002837.SZ,20250630,中国大陆,2314024036.64,531694136.28,1782329900.36,CNY
002837.SZ,20241231,轨道交通列车空调及服务,74660406.29,19687036.53,54973369.76,CNY
002837.SZ,20241231,机房温控节能设备,2440951426.94,658237198.62,1782714228.32,CNY
002837.SZ,20241231,新能源车用空调,111244702.98,40407587.88,70837115.1,CNY
002837.SZ,20241231,户外机柜温控节能设备,1715024191.79,539922004.73,1175102187.06,CNY
002837.SZ,20241231,客车空调,111244702.98,40407587.88,70837115.1,CNY
002837.SZ,20241231,其他主营业务,246938759.27,60924698.99,186014060.28,CNY
002837.SZ,20241231,精密温控节能设备(行业),4588819487.27,1319178526.75,3269640960.52,CNY
002837.SZ,20241231,国外,659803882.91,326417939.96,333385942.95,CNY
002837.SZ,20241231,中国大陆,3929015604.36,992760586.79,2936255017.57,CNY
002837.SZ,20241231,直销,4345997955.75,1243462627.48,3102535328.27,CNY
002837.SZ,20241231,分销,242821531.52,75715899.27,167105632.25,CNY
002837.SZ,20240630,轨道交通列车空调及服务,47888516.71,17769935.57,30118581.14,CNY
002837.SZ,20240630,机房温控节能设备,855541480.48,261982826.71,593558653.77,CNY
002837.SZ,20240630,新能源车用空调,27590779.94,10892422.71,16698357.23,CNY
002837.SZ,20240630,户外机柜温控节能设备,701598302.08,215424911.69,486173390.39,CNY
002837.SZ,20240630,客车空调,27590779.94,10892422.71,16698357.23,CNY
002837.SZ,20240630,其他主营业务,79938852.26,24592268.75,55346583.51,CNY
002837.SZ,20240630,精密温控节能设备(行业),1712557931.47,530662365.43,1181895566.04,CNY
002837.SZ,20240630,国外,275426766.9,138627462.0,136799304.9,CNY
002837.SZ,20240630,中国大陆,1437131164.57,392034903.43,1045096261.14,CNY
