ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
300499.SZ,20251231,高功率密度装置热管理产品,P,264343986.52,34638138.26,229705848.26,CNY
300499.SZ,20251231,电力电子散热器,P,573069708.36,200782503.86,372287204.5,CNY
300499.SZ,20251231,工程运维,P,114571196.33,45628945.19,68942251.14,CNY
300499.SZ,20251231,其他主营业务,P,37138940.11,5198559.61,31940380.5,CNY
300499.SZ,20251231,热管理系统零部件行业,I,989123831.32,286248146.92,702875684.4,CNY
300499.SZ,20251231,国外,D,8998598.88,3243878.3,5754720.58,CNY
300499.SZ,20251231,中国大陆,D,980125232.44,283004268.62,697120963.82,CNY
300499.SZ,20251231,直销,455006000,989123831.32,286248146.92,702875684.4,CNY
300499.SZ,20250630,高功率密度装置热管理产品,P,136958047.52,19147125.9,117810921.62,CNY
300499.SZ,20250630,纯水冷却设备,P,223654812.82,62506093.52,161148719.3,CNY
300499.SZ,20250630,电力电子散热器,P,223654812.82,62506093.52,161148719.3,CNY
300499.SZ,20250630,工程运维,P,43957280.33,19190260.86,24767019.47,CNY
300499.SZ,20250630,备品备件及维护,P,43957280.33,19190260.86,24767019.47,CNY
300499.SZ,20250630,其他主营业务,P,13177786.81,1951597.16,11226189.65,CNY
300499.SZ,20250630,国外,D,3191099.26,1766962.71,1424136.55,CNY
300499.SZ,20250630,中国大陆,D,414556828.22,101028114.73,313528713.49,CNY
300499.SZ,20241231,高功率密度装置热管理产品,P,328147168.28,29937933.36,298209234.92,CNY
300499.SZ,20241231,纯水冷却设备,P,218940143.74,69863474.15,149076669.59,CNY
300499.SZ,20241231,电力电子散热器,P,218940143.74,69863474.15,149076669.59,CNY
300499.SZ,20241231,工程运维,P,105027924.65,48614642.32,56413282.33,CNY
300499.SZ,20241231,备品备件及维护,P,105027924.65,48614642.32,56413282.33,CNY
300499.SZ,20241231,其他主营业务,P,39148748.52,17670658.1,21478090.42,CNY
300499.SZ,20241231,热管理系统零部件行业,I,691263985.19,166086707.93,525177277.26,CNY
300499.SZ,20241231,水冷行业,I,691263985.19,166086707.93,525177277.26,CNY
300499.SZ,20241231,国外,D,2650751.56,1542408.53,1108343.03,CNY
300499.SZ,20241231,中国大陆,D,688613233.63,164544299.4,524068934.23,CNY
300499.SZ,20241231,直销,455006000,691263985.19,166086707.93,525177277.26,CNY
300499.SZ,20240630,高功率密度装置热管理产品,P,150056244.63,25671394.16,124384850.47,CNY
300499.SZ,20240630,纯水冷却设备,P,65899287.64,22451736.86,43447550.78,CNY
300499.SZ,20240630,电力电子散热器,P,65899287.64,22451736.86,43447550.78,CNY
300499.SZ,20240630,工程运维,P,50927680.68,25079980.15,25847700.53,CNY
300499.SZ,20240630,备品备件及维护,P,50927680.68,25079980.15,25847700.53,CNY
300499.SZ,20240630,其他主营业务,P,15742062.82,5387864.14,10354198.68,CNY
300499.SZ,20240630,国外,D,658705.68,301857.24,356848.44,CNY
300499.SZ,20240630,中国大陆,D,281966570.09,78289118.07,203677452.02,CNY
