ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
300602.SZ,20251231,轻量化等功能器件,P,1693137720.86,260800658.26,1432337062.6,CNY
300602.SZ,20251231,电磁屏蔽器件,P,1768884670.36,544669612.16,1224215058.2,CNY
300602.SZ,20251231,热管理材料,P,2466926221.32,340679848.7,2126246372.62,CNY
300602.SZ,20251231,基站天线及相关器件,P,373156657.95,,,CNY
300602.SZ,20251231,其他收入,P,224580478.27,,,CNY
300602.SZ,20251231,电子元器件制造业,I,6526685748.76,1270877305.11,5255808443.65,CNY
300602.SZ,20251231,国外,D,1225543908.43,370781179.26,854762729.17,CNY
300602.SZ,20251231,中国大陆,D,5301141840.33,900096125.85,4401045714.48,CNY
300602.SZ,20251231,直接销售,455006000,6526685748.76,1270877305.11,5255808443.65,CNY
300602.SZ,20250630,轻量化等功能器件,P,759628048.45,87760575.37,671867473.08,CNY
300602.SZ,20250630,电磁屏蔽器件,P,782879653.15,233451493.22,549428159.93,CNY
300602.SZ,20250630,热管理材料,P,1084818172.82,181182175.59,903635997.23,CNY
300602.SZ,20250630,其他业务,P,255822721.25,62070922.16,193751799.09,CNY
300602.SZ,20250630,电子元器件制造业,I,2883148595.67,564465166.34,2318683429.33,CNY
300602.SZ,20250630,国外,D,594143245.26,186164112.5,407979132.76,CNY
300602.SZ,20250630,中国大陆,D,2289005350.41,378301053.84,1910704296.57,CNY
300602.SZ,20250630,直接销售,455006000,2883148595.67,564465166.34,2318683429.33,CNY
300602.SZ,20241231,轻量复合材料,P,722230771.04,97552097.12,624678673.92,CNY
300602.SZ,20241231,芯片粘结胶,P,97493453.49,,,CNY
300602.SZ,20241231,电磁屏蔽器件,P,1309897874.02,303866292.66,1006031581.36,CNY
300602.SZ,20241231,特种功能材料产品-防护材料,P,550184530.85,153922406.95,396262123.9,CNY
300602.SZ,20241231,热管理材料,P,1864092599.79,339287728.29,1524804871.5,CNY
300602.SZ,20241231,基站天线及相关器件,P,309126186.28,,,CNY
300602.SZ,20241231,其他电子器件,P,550184530.85,153922406.95,396262123.9,CNY
300602.SZ,20241231,其他收入,P,177760973.89,,,CNY
300602.SZ,20241231,充电类产品,P,97493453.49,,,CNY
300602.SZ,20241231,电子元器件制造业,I,5030786389.36,964725446.95,4066060942.41,CNY
300602.SZ,20241231,国外,D,1119074288.9,321354242.49,797720046.41,CNY
300602.SZ,20241231,中国大陆,D,3911712100.46,643371204.46,3268340896.0,CNY
300602.SZ,20241231,直接销售,455006000,5030786389.36,964725446.95,4066060942.41,CNY
300602.SZ,20240630,轻量复合材料,P,294208686.3,30363741.23,263844945.07,CNY
300602.SZ,20240630,电磁屏蔽器件,P,607260111.68,145532481.83,461727629.85,CNY
300602.SZ,20240630,特种功能材料产品-防护材料,P,223170858.05,59696196.92,163474661.13,CNY
300602.SZ,20240630,热管理材料,P,790211790.9,138809740.74,651402050.16,CNY
300602.SZ,20240630,其他电子器件,P,223170858.05,59696196.92,163474661.13,CNY
300602.SZ,20240630,其他收入,P,254191306.9,12937571.46,241253735.44,CNY
300602.SZ,20240630,电子元器件制造业,I,2169042753.83,387339732.18,1781703021.65,CNY
300602.SZ,20240630,国外,D,512287157.7,148564790.85,363722366.85,CNY
300602.SZ,20240630,中国大陆,D,1656755596.13,238774941.33,1417980654.8,CNY
