ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
300731.SZ,20251231,防水密封材料,P,95802170.58,46439447.5,49362723.08,CNY
300731.SZ,20251231,绝缘防火材料,P,148493797.51,51674133.98,96819663.53,CNY
300731.SZ,20251231,汽车密封条,P,219810960.4,23247500.85,196563459.55,CNY
300731.SZ,20251231,散热金属结构件,P,676537747.27,96445234.98,580092512.29,CNY
300731.SZ,20251231,其他收入,P,16256542.11,4800399.52,11456142.59,CNY
300731.SZ,20251231,通信行业,I,103246143.25,46435892.29,56810250.96,CNY
300731.SZ,20251231,电力行业,I,161168158.85,53547958.31,107620200.54,CNY
300731.SZ,20251231,汽车行业,I,219810960.4,23247500.85,196563459.55,CNY
300731.SZ,20251231,新能源行业,I,545605855.49,79338618.77,466267236.72,CNY
300731.SZ,20251231,传统家电行业,I,127070099.88,20036746.61,107033353.27,CNY
300731.SZ,20251231,西南,D,55311125.75,-1311979.67,56623105.42,CNY
300731.SZ,20251231,西北,D,272915.71,178282.26,94633.45,CNY
300731.SZ,20251231,国外,D,57130130.01,29324224.96,27805905.05,CNY
300731.SZ,20251231,华南,D,87477020.8,35902200.49,51574820.31,CNY
300731.SZ,20251231,华北,D,35891766.14,1195254.62,34696511.52,CNY
300731.SZ,20251231,华中,D,182112353.74,41259665.33,140852688.41,CNY
300731.SZ,20251231,华东,D,694367990.72,107334762.13,587033228.59,CNY
300731.SZ,20251231,东北,D,44337915.0,8724306.71,35613608.29,CNY
300731.SZ,20251231,经销,455006000,161612.27,140875.86,20736.41,CNY
300731.SZ,20251231,直销,455006000,1156739605.6,222465840.97,934273764.63,CNY
300731.SZ,20250630,防水材料,P,58493700.71,30982477.46,27511223.25,CNY
300731.SZ,20250630,防水密封材料,P,58493700.71,30982477.46,27511223.25,CNY
300731.SZ,20250630,绝缘防火材料,P,73799450.39,25138297.33,48661153.06,CNY
300731.SZ,20250630,绝缘材料,P,73799450.39,25138297.33,48661153.06,CNY
300731.SZ,20250630,汽车密封条,P,89250940.71,6748399.27,82502541.44,CNY
300731.SZ,20250630,散热金属结构件,P,302895979.56,31237743.54,271658236.02,CNY
300731.SZ,20250630,其他收入,P,16113518.21,7760490.08,8353028.13,CNY
300731.SZ,20250630,通信行业,I,64322419.64,31007848.46,33314571.18,CNY
300731.SZ,20250630,电力行业,I,80436422.18,25831109.58,54605312.6,CNY
300731.SZ,20250630,汽车行业,I,89250940.71,6748399.27,82502541.44,CNY
300731.SZ,20250630,新能源行业,I,241836857.29,28072463.69,213764393.6,CNY
300731.SZ,20250630,传统家电行业,I,64706949.76,10207586.68,54499363.08,CNY
300731.SZ,20250630,西南,D,31536884.98,-3436302.32,34973187.3,CNY
300731.SZ,20250630,西北,D,30012.38,17212.64,12799.74,CNY
300731.SZ,20250630,国外,D,35791469.91,20714773.12,15076696.79,CNY
300731.SZ,20250630,华南,D,41383100.94,15002326.93,26380774.01,CNY
300731.SZ,20250630,华北,D,26288483.25,3693450.8,22595032.45,CNY
300731.SZ,20250630,华中,D,90802367.23,22184318.27,68618048.96,CNY
300731.SZ,20250630,华东,D,301502511.71,40781149.89,260721361.82,CNY
300731.SZ,20250630,东北,D,13218759.18,2910478.35,10308280.83,CNY
300731.SZ,20250630,经销,455006000,142848.03,123828.71,19019.32,CNY
300731.SZ,20250630,直销,455006000,540410741.55,101743578.97,438667162.58,CNY
300731.SZ,20241231,防水材料,P,110230663.06,59956999.94,50273663.12,CNY
300731.SZ,20241231,防水密封材料,P,110230663.06,59956999.94,50273663.12,CNY
