ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p,basic_eps,diluted_eps
002837.SZ,20260421,20260421,20260331,1,1,1175329313.61,1175329313.61,6334488.35,6893272.5,14161062.09,8657602.27,0.01,0.01
002837.SZ,20260421,20260421,20251231,1,1,6067759091.55,6067759091.55,590359558.6,597408857.0,542679980.86,521914773.0,0.54,0.53
002837.SZ,20251014,20251014,20250930,1,1,4026030778.35,4026030778.35,437938359.53,443915209.78,413650525.21,399069661.11,0.41,0.41
002837.SZ,20250819,20250819,20250630,1,1,2573139460.9,2573139460.9,243714815.46,248941146.02,225891956.62,215640426.56,0.22,0.22
002837.SZ,20250422,20250422,20250331,1,1,932585781.26,932585781.26,54908431.71,56129588.75,54381946.57,48010475.41,0.06,0.06
002837.SZ,20250422,20250422,20241231,1,1,4588819487.27,4588819487.27,503433812.82,510919444.6,454120286.8,452664369.42,0.61,0.61
002837.SZ,20241025,20241025,20240930,1,1,2871742557.75,2871742557.75,388843307.09,393785892.21,351855406.01,352755913.7,0.48,0.48
002837.SZ,20240813,20240813,20240630,1,1,1712557931.47,1712557931.47,199058022.15,202536137.17,183274959.26,183466097.22,0.25,0.25
002837.SZ,20240423,20240423,20240331,1,1,745644712.04,745644712.04,63758827.36,65936640.46,61570555.24,61975220.35,0.11,0.11
002837.SZ,20240416,20240416,20231231,1,1,3528859077.13,3528859077.13,396030725.97,401473988.67,348748744.38,344006335.07,0.61,0.61
