ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,net_after_nr_lp_correct,credit_impa_loss,net_expo_hedging_benefits,oth_impair_loss_assets,total_opcost,amodcost_fin_assets,oth_income,asset_disp_income,continued_net_profit,end_net_profit,update_flag
300499.SZ,20260424,20260424,20260331,1,1,1,0.05,0.05,211951834.83,211951834.83,,,,,,,,,,,,,,,,10416546.7,10258314.38,,204914627.94,146920747.8,,,1934554.16,14298074.31,26348509.15,243180.17,740275.9,,,,,,,,,,,19039613.1,4028.38,60402.31,,18983239.17,1656423.27,17326815.9,15140762.55,2186053.35,,17326815.9,15140762.55,2186053.35,8120326.28,,,,,10185599.43,39170.4,102963.03,,,,,,,,,,,,,,,,-5724238.82,,,199930665.02,,1580215.12,5644.39,17326815.9,,1
300499.SZ,20260424,20260424,20251231,1,1,4,0.09,0.09,989123831.32,989123831.32,,,,,,,,,,,,,,,,35426184.6,32952851.35,,971547747.99,702875684.4,,,7368091.79,69590048.61,121113414.16,-520721.88,-6381446.47,,,,,,,,,,,64820088.91,134622.11,816760.47,,64137950.55,36482352.04,27655598.51,28383086.38,-727487.87,,27655598.51,28383086.38,-727487.87,31928210.7,73623589.41,,,,54388268.98,436720.75,233041.92,,,,,,,,,,,,,,,,-10351515.46,,,954814786.06,,11717624.04,100196.94,27655598.51,,1
300499.SZ,20251025,20251025,20250930,1,1,3,0.11,0.11,587778113.2,587778113.2,,,,,,,,,,,,,,,,29649370.36,27789370.33,,597893586.44,424398921.74,,,4931954.9,46034812.72,84895164.77,-663291.21,-3470067.16,,,,,,,,,,,28479315.51,87961.11,651511.26,,27915765.36,-2526081.85,30441847.21,34234960.04,-3793112.83,,30441847.21,34234960.04,-3793112.83,1799390.55,,,,,35080058.97,352401.84,141465.03,,,,,,,,,,,,,,,,254102.61,,,594677621.89,,9108087.84,-162669.45,30441847.21,,1
300499.SZ,20250823,20250823,20250630,1,1,2,0.08,0.08,417747927.48,417747927.48,,,,,,,,,,,,,,,,18099470.46,16859470.44,,422492316.4,314952850.04,,,3522432.2,27587544.86,54372172.47,-828991.14,-1346899.45,,,,,,,,,,,19530445.65,52391.64,155973.0,,19426864.29,-1358329.04,20785193.33,22931496.65,-2146303.32,,20785193.33,22931496.65,-2146303.32,1850883.94,18345452.61,,,,21953326.49,235906.28,80188.96,,,,,,,,,,,,,,,,413917.97,,,421559334.92,,6106763.5,68600.61,20785193.33,,0
300499.SZ,20250425,20250425,20250331,1,1,1,0.04,0.04,218000373.52,218000373.52,,,,,,,,,,,,,,,,9893472.25,9273472.24,,220427249.67,163187471.69,,,2012314.46,11145573.81,27220537.88,-394156.35,-1576527.84,,,,,,,,,,,11632109.04,6536.64,42760.2,,11595885.48,-283369.04,11879254.52,12990872.11,-1111617.59,,11879254.52,12990872.11,-1111617.59,2867557.53,,,,,9087662.66,116519.01,42275.49,,,,,,,,,,,,,,,,-6591317.68,,,212259404.15,,4112062.19,53450.75,11879254.52,,1
300499.SZ,20250425,20250425,20241231,1,1,4,-0.16,-0.16,691263985.19,691263985.19,,,,,,,,,,,,,,,,23491431.24,20796336.6,,773875605.78,525177277.26,,,9203458.61,60923532.99,119279323.23,380454.96,-10857359.26,,,,,,,,,,,-49214862.47,142966.63,1115897.32,,-50187793.16,-574639.4,-49613153.76,-50322088.12,708934.36,,-49613153.76,-50322088.12,708934.36,-63884564.91,-27459992.83,,,,45215970.55,527694.05,952898.99,,,,,,,,,,,,,,,,-2838228.92,,,760180017.6,,12184580.56,-2279253.68,-49613153.76,,1
300499.SZ,20241025,20241025,20240930,1,1,3,-0.06,-0.06,361673863.07,361673863.07,,,,,,,,,,,,,,,,12420313.24,10345218.61,,413954618.04,260537725.45,,,5028613.32,40767380.31,76795076.45,-83647.97,982316.78,,,,,,,,,,,-30494772.87,142026.89,1043901.52,,-31396647.5,-14124433.81,-17272213.69,-17649122.73,376909.04,,-17272213.69,-17649122.73,376909.04,-44035615.7,,,,,31542521.28,247743.89,817431.51,,,,,,,,,,,,,,,,-349265.98,,,414587668.84,,9311104.02,54564.84,-17272213.69,,1
300499.SZ,20240823,20240823,20240630,1,1,2,-0.01,-0.01,282625275.77,282625275.77,,,,,,,,,,,,,,,,5458821.47,4003726.85,,302631379.98,204034300.46,,,3798865.96,23129897.5,47265081.23,208527.16,839862.71,,,,,,,,,,,-7554136.08,8284.44,949296.88,,-8495148.52,-6750118.2,-1745030.32,-1713139.72,-31890.6,,-1745030.32,-1713139.72,-31890.6,-13659767.99,7327740.63,,,,18920145.79,270891.81,666830.91,,,,,,,,,,,,,,,,-6114424.59,,,297356818.1,,6963104.6,30042.06,-1745030.32,,1
300499.SZ,20240426,20240426,20240331,1,1,1,0.02,0.02,178640616.8,178640616.8,,,,,,,,,,,,,,,,1965165.78,1130071.17,,178617011.38,135090479.92,,,1984478.29,8148588.37,21149584.87,465881.99,1795296.54,,,,,,,,,,,5572159.41,2079.09,625355.3,,4948883.2,-919202.57,5868085.77,5623477.54,244608.23,,5868085.77,5623477.54,244608.23,2277579.08,,,,,7609394.39,212071.77,405991.26,,,,,,,,,,,,,,,,-5963900.09,,,174448407.83,,3583388.21,,5868085.77,,1
300499.SZ,20240426,20240426,20231231,1,1,4,-0.1,-0.1,573302911.24,573302911.24,,,,,,,,,,,,,,,,17706630.38,14421255.38,,637613523.53,430537560.86,,,5610275.38,48448990.6,106074290.48,-258821.59,-2053733.75,,,,,,,,,,,-37520847.95,5590.58,841031.86,,-38356289.23,-7644187.01,-30712102.22,-31825721.57,1113619.35,,-30712102.22,-31825721.57,1113619.35,-55456221.37,-24571764.56,,,,38907360.78,3810173.91,3121661.03,,,,,,,,,,,,,,,,-6240133.27,,,629319656.51,,8954804.55,128329.41,-30712102.22,,1
