ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,net_after_nr_lp_correct,credit_impa_loss,net_expo_hedging_benefits,oth_impair_loss_assets,total_opcost,amodcost_fin_assets,oth_income,asset_disp_income,continued_net_profit,end_net_profit,update_flag
300602.SZ,20260428,20260428,20260331,1,1,1,0.13,0.13,1643714119.75,1643714119.75,,,,,,,,,,,,,,,-8293.09,253287.06,,,1542844248.9,1300142670.51,,,9104770.57,31895176.42,75814245.36,20274227.34,-17175372.93,,,,,,,,,,,90678438.81,198903.66,387338.9,,90490003.57,11658806.45,78831197.12,77356955.36,1474241.76,-122732.42,78708464.7,77195447.64,1513017.06,158940471.48,,,,,92122681.78,10876202.58,2071265.32,,,,,,,,,,,,,,,,3684896.01,,,1529353771.98,,20621000.36,-31057426.37,78831197.12,,1
300602.SZ,20260428,20260428,20251231,1,1,4,0.63,0.62,6526685748.76,6526685748.76,,,,,,,,,,,,,,,139528.15,9839797.91,-680091.77,,6247193471.27,5255808443.65,,,37802702.38,120346781.3,307669917.92,38147455.33,-93289257.59,,,,,,,,,,,356003466.8,6528015.91,5779660.08,,356751822.63,-2708844.45,359460667.08,364560225.57,-5099558.49,2287821.12,361748488.2,364949257.06,-3200768.86,387000966.12,689636000.37,,,,350965688.44,36025749.52,4289666.66,,,,,,,,,,,,,,,,-43163224.66,,,6110740989.02,,63927586.5,2604276.75,359460667.08,,1
300602.SZ,20251029,20251029,20250930,1,1,3,0.4934,0.491,4617288837.88,4617288837.88,,,,,,,,,,,,,,,,2990918.29,-680091.77,,4345943297.16,3683202205.61,,,27335025.26,89737733.94,191834885.76,18540028.17,-61816271.91,,,,,,,,,,,325655893.14,3063628.45,4629165.03,,324090356.56,18656962.28,305433394.28,286171617.55,19261776.73,-852567.34,304580826.94,285525717.77,19055109.17,400512367.88,,,,,254627178.79,26768276.94,3383381.84,,,,,,,,,,,,,,,,-18849967.72,,,4265277057.53,,48810527.08,2508907.05,305433394.28,,1
300602.SZ,20250819,20250819,20250630,1,1,2,0.2864,0.2857,2883148595.67,2883148595.67,,,,,,,,,,,,,,,,4400302.65,-680091.77,,2741432496.34,2318683429.33,,,17694694.64,57269210.54,115635564.33,6867439.31,-54429628.63,,,,,,,,,,,181936195.1,1774298.03,2767074.21,,180943418.92,5805956.88,175137462.04,166088911.89,9048550.15,445737.81,175583199.85,166458927.9,9124271.95,182084150.84,333268465.54,,,,155945499.93,15529488.69,1947595.0,,,,,,,,,,,,,,,,-14907029.63,,,2672095838.08,,33500612.2,2319180.92,175137462.04,,1
300602.SZ,20250416,20250416,20250331,1,1,1,0.0996,0.0993,1181287129.43,1181287129.43,,,,,,,,,,,,,,,,6185415.23,-680091.77,,1150478194.53,974295415.37,,,7439343.58,24148687.61,57892249.34,2485479.39,-25972832.94,,,,,,,,,,,54295758.44,483861.52,531490.63,,54248129.33,-7938434.36,62186563.69,57763731.39,4422832.3,184699.62,62371263.31,57760088.85,4611174.46,76549089.01,,,,,68938757.46,7697861.09,620152.9,,,,,,,,,,,,,,,,10694571.16,,,1135199932.75,,17281841.78,19566.53,62186563.69,,1
300602.SZ,20250416,20250416,20241231,1,1,4,0.33,0.33,5030786389.36,5030786389.36,,,,,,,,,,,,,,,,-30315813.18,-27143022.03,,4850193534.23,4066060942.41,,,32626929.39,114950547.29,270876171.05,-2072372.28,-84193494.63,,,,,,,,,,,216341316.09,4710720.9,10334013.26,,210718023.73,37478187.42,173239836.31,188890277.36,-15650441.05,-18171750.41,155068085.9,169456135.03,-14388049.13,250351084.61,592295706.25,,,,263156029.73,34786771.15,14356770.16,,,,,,,,,,,,,,,,-20401792.01,,,4745598247.59,,67546172.14,-1481898.0,173239836.31,,1
300602.SZ,20241030,20241030,20240930,1,1,3,0.1798,0.1795,3422978104.16,3422978104.16,,,,,,,,,,,,,,,,-21408868.25,-21610682.53,,3326553340.49,2797720234.04,,,23264471.95,81507084.35,193170916.59,11265627.21,-43368123.1,,,,,,,,,,,102431512.64,2275767.37,5017090.0,,99690190.01,10639782.35,89050407.66,103743307.66,-14692900.0,-16252068.36,72798339.3,86653683.43,-13855344.13,180484370.97,,,,,185532634.84,20856971.58,7996715.72,,,,,,,,,,,,,,,,9275751.59,,,3292460968.98,,29425856.99,-2010239.77,89050407.66,,1
300602.SZ,20240820,20240820,20240630,1,1,2,0.098,0.0978,2169042753.83,2169042753.83,,,,,,,,,,,,,,,,-17291712.3,-17291712.3,,2111354975.03,1781703021.65,,,15951230.93,53798547.84,129323481.59,-1557221.24,-32069578.8,,,,,,,,,,,61244547.89,1100165.06,3769289.42,,58575423.53,10540029.32,48035394.21,56551265.34,-8515871.13,-18865937.93,29169456.28,36248651.01,-7079194.73,78979819.78,248341238.72,,,,120422831.05,20856971.58,7996715.72,,,,,,,,,,,,,,,,20356495.59,,,2099641891.82,,22849262.22,-2000780.83,48035394.21,,1
300602.SZ,20240425,20240425,20240331,1,1,1,0.041,0.0409,982356206.68,982356206.68,,,,,,,,,,,,,,,,-4732002.4,-4732002.4,,962691286.27,816023101.39,,,7457146.89,26630975.48,64661938.04,-1857136.07,-12782202.2,,,,,,,,,,,24689571.23,174000.4,819289.77,,24044281.86,6970619.97,17073661.89,23635031.27,-6561369.38,-14302831.95,2770829.94,9166673.97,-6395844.03,41359641.86,,,,,54777223.02,10366329.11,4770474.08,,,,,,,,,,,,,,,,17784164.68,,,967693248.75,,10769655.32,-1013002.1,17073661.89,,1
300602.SZ,20240425,20240425,20240331,1,1,1,0.041,0.0409,982356206.68,982356206.68,,,,,,,,,,,,,,,,-4732002.4,-4732002.4,,962691286.27,816023101.39,,,7457146.89,26630975.48,64661938.04,-1857136.07,-12782202.2,,,,,,,,,,,24689571.23,174000.4,819289.77,,24044281.86,6970619.97,17073661.89,23635031.27,-6561369.38,-14302831.95,2770829.94,9166673.97,-6395844.03,,,,,,54777223.02,10366329.11,4770474.08,,,,,,,,,,,,,,,,17784164.68,,,967693248.75,,10769655.32,-1013002.1,17073661.89,,0
