ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,net_after_nr_lp_correct,credit_impa_loss,net_expo_hedging_benefits,oth_impair_loss_assets,total_opcost,amodcost_fin_assets,oth_income,asset_disp_income,continued_net_profit,end_net_profit,update_flag
300731.SZ,20260429,20260429,20260331,1,1,1,-0.02,-0.02,224326491.62,224326491.62,,,,,,,,,,,,,,,,-815496.07,-839326.2,,228134410.65,187410896.07,,,633592.93,6805409.24,18348589.91,3542795.3,-3045981.33,,,,,,,,,,,-2982083.72,184954.24,13563.93,,-2810693.41,-1025466.61,-1785226.8,-2998057.52,1212830.72,196960.87,-1588265.93,-2801096.65,1212830.72,4482255.63,,,,,10675735.08,3415822.04,1325184.46,,,,,,,,,,,,,,,,2328589.21,,,227417018.53,,1701398.03,-60066.65,-1785226.8,,1
300731.SZ,20260429,20260429,20251231,1,1,4,0.28,0.28,1156901217.87,1156901217.87,,,,,,,,,,,,,,,2880849.92,-3043433.82,-2330082.27,,1133785708.03,934294501.04,,,3485667.32,32632126.19,73541686.79,11822410.71,-23517658.32,,,,,,,,,,,34814402.38,931617.38,1322641.53,,34423378.23,-15116435.58,49539813.81,35609646.01,13930167.8,-9046191.27,40493622.54,26563454.74,13930167.8,63258976.09,122420909.41,,,,53983910.28,8941705.05,4169560.19,,,,,,,,,,,,,,,,-507747.38,,,1109760302.33,,13178845.05,-1317368.61,49539813.81,,1
300731.SZ,20251029,20251029,20250930,1,1,3,0.21,0.21,838841878.9,838841878.9,,,,,,,,,,,,,,,,-1835972.28,-1209501.87,,807777649.37,678426016.58,,,2270849.13,23629940.92,54682801.94,10051303.78,-5809984.83,,,,,,,,,,,39509497.79,71995.26,1619204.77,,37962288.28,5006548.57,32955739.71,27033277.01,5922462.7,133033.63,33088773.34,27166310.64,5922462.7,57499883.15,,,,,36176106.67,10785134.11,2688674.66,,,,,,,,,,,,,,,,3269354.48,,,805237019.02,,10574365.01,-293124.47,32955739.71,,1
300731.SZ,20250825,20250825,20250630,1,1,2,0.14,0.14,540553589.58,540553589.58,,,,,,,,,,,,,,,,-119136.22,-234997.87,,523367738.79,438686181.9,,,1301048.37,14744732.74,35922980.23,7089596.28,-3769452.7,,,,,,,,,,,23671502.27,4326.88,454483.07,,23221346.08,4347696.34,18873649.74,17603993.56,1269656.18,142995.55,19016645.29,17746989.11,1269656.18,31996275.23,62027038.82,,,,24492297.05,6984080.15,1046701.6,,,,,,,,,,,,,,,,2638550.48,,,522236836.57,,6614576.63,-9788.93,18873649.74,,1
300731.SZ,20250429,20250429,20250331,1,1,1,0.08,0.08,252303104.42,252303104.42,,,,,,,,,,,,,,,,2289.72,-96223.38,,244976829.03,207668294.94,,,221260.21,7439828.07,16140825.94,3320188.67,-1198430.62,,,,,,,,,,,12057212.66,-10993.64,182083.47,,11864135.55,1472827.26,10391308.29,10076941.42,314366.87,11634.58,10402942.87,10088576.0,314366.87,16580298.48,,,,,11466883.83,3121233.81,328671.16,,,,,,,,,,,,,,,,2478883.25,,,246257281.66,,4735403.8,-6756.25,10391308.29,,1
300731.SZ,20250429,20250429,20241231,1,1,4,0.14,0.14,958126136.62,958126136.62,,,,,,,,,,,,,,,4458983.24,-1154039.28,-289479.97,,942535926.68,757470786.57,,,2961077.12,34199301.54,61641128.57,7474540.89,-26710958.9,,,,,,,,,,,24727002.33,1269746.96,710746.38,,25286002.91,6884035.48,18401967.43,17279483.78,1122483.65,1038310.13,19440277.56,18317793.91,1122483.65,48627529.91,101965674.23,,,,46433168.39,7323131.85,3906130.95,,,,,,,,,,,,,,,,-5644964.7,,,910180003.08,,6293938.87,-462090.44,18401967.43,,1
300731.SZ,20241030,20241030,20240930,1,1,3,0.08,0.08,593040961.42,593040961.42,,,,,,,,,,,,,,,,-1307513.1,-242683.17,,581570937.31,463179284.57,,,2076599.79,24182849.21,47895582.58,5054631.07,-7778186.99,,,,,,,,,,,12989721.76,289275.18,722588.13,,12556408.81,3872501.92,8683906.89,10672932.57,-1989025.68,1223444.56,9907351.45,11896377.13,-1989025.68,27493478.63,,,,,32063788.04,7508437.02,3489504.61,,,,,,,,,,,,,,,,659984.94,,,574452735.26,,3190636.46,-363425.71,8683906.89,,1
300731.SZ,20240817,20240817,20240630,1,1,2,0.02,0.02,375646111.75,375646111.75,,,,,,,,,,,,,,,,-1249673.99,-155018.38,,371830154.01,296090646.25,,,1419399.67,19607527.76,32151953.88,2216680.8,-610568.55,,,,,,,,,,,4680213.95,197995.35,419735.61,,4458473.69,2286223.89,2172249.8,2836115.48,-663865.68,1112900.05,3285149.85,3949015.53,-663865.68,,,,,,20158938.78,4379424.14,2121081.76,,,,,,,,,,,,,,,,425561.68,,,371645147.14,,2495148.48,-381218.28,2172249.8,,0
300731.SZ,20240817,20240817,20240630,1,1,2,0.02,0.02,375646111.75,375646111.75,,,,,,,,,,,,,,,,-1249673.99,-155018.38,,371830154.01,296090646.25,,,1419399.67,19607527.76,32151953.88,2216680.8,-610568.55,,,,,,,,,,,4680213.95,197995.35,419735.61,,4458473.69,2286223.89,2172249.8,2836115.48,-663865.68,1112900.05,3285149.85,3949015.53,-663865.68,8527787.02,33222699.84,,,,20158938.78,4379424.14,2121081.76,,,,,,,,,,,,,,,,425561.68,,,371645147.14,,2495148.48,-381218.28,2172249.8,,1
300731.SZ,20240429,20240429,20240331,1,1,1,0.01,0.01,135364616.53,135364616.53,,,,,,,,,,,,,,,,38541.5,16269.24,,135718518.54,101215517.28,,,454884.83,11702044.41,13917468.83,1161026.37,809553.96,,,,,,,,,,,562924.57,113995.02,118852.96,,558066.63,906410.67,-348344.04,1072404.17,-1420748.21,47979.32,-300364.72,1120383.49,-1420748.21,875855.48,,,,,9961671.52,1883661.26,-2146437.33,,,,,,,,,,,,,,,,1884540.74,,,138412613.24,,878285.08,,-348344.04,,1
