ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,net_after_nr_lp_correct,credit_impa_loss,net_expo_hedging_benefits,oth_impair_loss_assets,total_opcost,amodcost_fin_assets,oth_income,asset_disp_income,continued_net_profit,end_net_profit,update_flag
301018.SZ,20260429,20260429,20260331,1,1,1,0.11,0.11,617158503.38,617158503.38,,,,,,,,,,,,,,,-511950.6,572232.54,,,595037630.34,490051383.14,,,3467117.7,46340481.52,35359400.69,7285583.52,5987019.05,,,,,,,,,,,30251486.7,1860588.68,762952.36,,31349123.02,153888.17,31195234.85,28305819.43,2889415.42,-301857.89,30893376.96,28003961.54,2889415.42,31869231.35,,,,,46562222.46,6975976.62,980124.9,,,,,,,,,,,,,,,,28041539.64,,,629066189.03,,8449793.84,-379462.12,31195234.85,,1
301018.SZ,20260427,20260427,20251231,1,1,4,0.81,0.81,4209198844.25,4209198844.25,,,,,,,,,,,,,,,1092161.28,-2112997.78,-316524.15,,3990684293.1,3199475507.42,,,30048242.44,272220356.98,195848958.3,25038403.25,-11545871.38,,,,,,,,,,,251003098.32,8868990.07,7525282.74,,252346805.65,27179595.12,225167210.53,216777173.18,8390037.35,179950.63,225347161.16,216957123.81,8390037.35,304307271.67,419485469.82,,,,192166689.0,25709120.83,3956128.45,,,,,,,,,,,,,,,,-64340264.33,,,3914798157.39,-2860941.55,58798777.04,-25289393.37,225167210.53,,1
301018.SZ,20251030,20251030,20250930,1,1,3,0.56,0.56,2507601192.35,2507601192.35,,,,,,,,,,,,,,,2525622.96,282810.84,,,2361641068.25,1926769840.3,,,18143621.87,135451473.86,146528346.53,17377039.24,-2790800.89,,,,,,,,,,,172644013.1,6208125.23,4775663.78,,174076474.55,19801809.58,154274664.97,150089281.51,4185383.46,-364068.21,153910596.76,149725213.3,4185383.46,191257607.55,,,,,121596067.27,18525206.13,2910169.75,,,,,,,,,,,,,,,,7016121.71,,,2365866389.07,,25129643.32,-1254188.12,154274664.97,,1
301018.SZ,20250829,20250829,20250630,1,1,2,0.57,0.57,1682178715.68,1682178715.68,0.0,0.0,0.0,,,,,,,,,,,,0.0,161422.17,0.0,,1521350853.9,1271491178.22,0.0,0.0,12021602.11,85812925.24,89850186.82,10054415.77,-1082907.69,0.0,0.0,0.0,0.0,,,,,,,172821220.54,1841346.31,3030143.37,,171632423.48,18304953.27,153327470.21,150414291.93,2913178.28,95107.33,153422577.54,150509399.26,2913178.28,184180133.58,227077238.47,,,,77616182.52,11471801.94,2178844.3,,,,,,,,,,,,,,,,26578544.47,,,1546846490.68,,12214948.34,-383011.75,153327470.21,,1
301018.SZ,20250429,20250429,20250331,1,1,1,0.2,0.2,628483116.38,628483116.38,,,,,,,,,,,,,,,,42519.43,,,573790597.22,490260644.54,,,2516116.76,34717973.38,39539391.42,3948934.44,1626691.29,,,,,,,,,,,62106988.54,988125.41,2749832.49,,60345281.46,6505501.89,53839779.57,54135208.79,-295429.22,-356.57,53839423.0,54134852.22,-295429.22,64468254.76,,,,,35089929.64,5156465.01,1248687.86,,,,,,,,,,,,,,,,30655701.67,,,606072990.18,,7453492.45,-81542.5,53839779.57,,1
301018.SZ,20250428,20250428,20241231,1,1,4,0.43,0.43,3016184306.91,3016184306.91,,,,,,,,,,,,,,,-276496.89,1401282.28,-129099.1,,2931370145.89,2298286838.62,,,20083776.62,215542467.06,158807722.59,14118022.28,-8154017.93,,,,,,,,,,,118039209.88,7119559.16,11789665.6,,113369103.44,2248358.97,111120744.47,115561619.69,-4440875.22,-20898.82,111099845.65,115540720.87,-4440875.22,131285244.8,214971112.31,,,,170622597.59,23876035.69,12730989.72,,,,,,,,,,,,,,,,-45754703.2,,,2877461424.76,-713718.34,33067288.24,-967024.77,111120744.47,,1
301018.SZ,20241029,20241029,20240930,1,1,3,0.54,0.54,1976993096.45,1976993096.45,,,,,,,,,,,,,,,,1352319.4,,,1846450786.39,1455746099.29,,,10171462.06,157106330.81,122146596.75,11856543.01,6365782.91,,,,,,,,,,,155411724.8,5955533.25,10139658.71,,151227599.34,14061147.24,137166452.1,142867454.34,-5701002.24,-86981.83,137079470.27,142780472.51,-5701002.24,,,,,,108977007.92,18028640.22,7872908.32,,,,,,,,,,,,,,,,13187470.54,,,1866004039.84,,23595938.99,-78843.65,137166452.1,,0
301018.SZ,20241029,20241029,20240930,1,1,3,0.54,0.54,1976993096.45,1976993096.45,,,,,,,,,,,,,,,,1352319.4,,,1846450786.39,1455746099.29,,,10171462.06,157106330.81,122146596.75,11856543.01,6365782.91,,,,,,,,,,,155411724.8,5955533.25,10139658.71,,151227599.34,14061147.24,137166452.1,142867454.34,-5701002.24,-86981.83,137079470.27,142780472.51,-5701002.24,159629009.15,,,,,108977007.92,18028640.22,7872908.32,,,,,,,,,,,,,,,,13187470.54,,,1866004039.84,,23595938.99,-78843.65,137166452.1,,1
301018.SZ,20240827,20240827,20240630,1,1,2,0.42,0.42,1304510058.78,1304510058.78,,,,,,,,,,,,,,,,663142.63,,,1199688676.58,959471726.99,,,8660065.03,100660065.19,76921551.2,5539222.51,5054150.81,,,,,,,,,,,121548989.77,4059883.75,5013787.34,,120595086.18,12877672.36,107717413.82,110637265.17,-2919851.35,-94445.45,107622968.37,110542819.72,-2919851.35,121382494.75,162709659.0,,,,68329198.38,11820565.83,7002463.29,,,,,,,,,,,,,,,,14839001.91,,,1219581829.3,-713718.34,16076040.85,-11575.91,107717413.82,,1
301018.SZ,20240429,20240429,20240331,1,1,1,0.19,0.19,494171420.48,494171420.48,,,,,,,,,,,,,,,,-8418.24,,,443623654.88,365846886.61,,,1427437.82,42720044.5,30969783.2,4081681.88,6749354.85,,,,,,,,,,,57963617.9,548654.13,4314818.84,,54197453.19,5860299.88,48337153.31,50434076.41,-2096923.1,-71010.97,48266142.34,50363065.44,-2096923.1,55315939.08,,,,,28949849.73,5112590.92,1603197.69,,,,,,,,,,,,,,,,23622674.01,,,473995683.74,,7435846.45,-11575.91,48337153.31,,1
301018.SZ,20240429,20240429,20231231,1,1,4,0.4,0.4,2511194372.98,2511194372.98,,,,,,,,,,,,,,,-234746.11,17682.9,-133583.03,,2408384461.74,1817006028.18,,,18024864.74,211963243.97,150649386.92,12382471.79,13000864.99,,,,,,,,,,,131666152.7,2481676.33,26008818.37,,108139010.66,3919330.75,104219679.91,104896459.9,-676779.99,-507.04,104219172.87,104895952.86,-676779.99,131653861.72,204406816.26,,,,154334478.21,22990293.58,13348754.23,,,,,,,,,,,,,,,,-57024852.92,,,2364360473.81,-1031960.14,29710455.6,-637150.93,104219679.91,,1
