ts_code,ann_date,float_date,float_share,float_ratio,holder_name,share_type
002837.SZ,20211021,20220425,1172791,0.3508,UBS AG(瑞士银行),定增股份
002837.SZ,20211021,20220425,1641907,0.4911,泰康人寿保险有限责任公司-传统-普通保险产品-019L-CT001深,定增股份
002837.SZ,20211021,20220425,39093,0.0117,中国银行-国泰金鹏蓝筹价值混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,39093,0.0117,国泰金色年华股票型养老金产品-中国建设银行股份有限公司,定增股份
002837.SZ,20211021,20220425,78186,0.0234,中国建设银行股份有限公司企业年金计划-中国工商银行股份有限公司,定增股份
002837.SZ,20211021,20220425,78186,0.0234,中国银行股份有限公司企业年金计划-中国农业银行,定增股份
002837.SZ,20211021,20220425,1172791,0.3508,全国社保基金一一一组合,定增股份
002837.SZ,20211021,20220425,273652,0.0819,国泰高分红策略股票型养老金产品-招商银行股份有限公司,定增股份
002837.SZ,20211021,20220425,195465,0.0585,国泰基金-农业银行-国泰蓝筹价值1号集合资产管理计划,定增股份
002837.SZ,20211021,20220425,195465,0.0585,国泰基金-建设银行-国泰安和1号集合资产管理计划,定增股份
002837.SZ,20211021,20220425,195465,0.0585,国泰多策略绝对收益混合型养老金产品-中信银行股份有限公司,定增股份
002837.SZ,20211021,20220425,195465,0.0585,国泰基金-上海银行-国泰优选配置集合资产管理计划,定增股份
002837.SZ,20211021,20220425,12901,0.0039,财通基金-建设银行-财通基金建兴定增量化对冲2号集合资产管理计划,定增股份
002837.SZ,20211021,20220425,5864,0.0018,财通基金-交银国际信托有限公司-财通基金定增量化对冲7号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,5864,0.0018,财通基金-天风证券股份有限公司-财通基金君享丰硕定增量化对冲单一资产管理计划,定增股份
002837.SZ,20211021,20220425,5864,0.0018,财通基金-海通证券股份有限公司-财通基金君享润熙单一资产管理计划,定增股份
002837.SZ,20211021,20220425,5864,0.0018,财通基金-华泰证券-财通基金定增量化对冲5号集合资产管理计划,定增股份
002837.SZ,20211021,20220425,4691,0.0014,财通基金-中建投信托股份有限公司-财通基金定增量化对冲6号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,6255,0.0019,财通基金-中航证券有限公司-财通基金中航盈风1号定增量化对冲单一资产管理计划,定增股份
002837.SZ,20211021,20220425,6255,0.0019,财通基金-中泰证券股份有限公司-财通基金盈泰定增量化对冲1号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,6255,0.0019,财通基金-海通证券股份有限公司-财通基金君享佳胜单一资产管理计划,定增股份
002837.SZ,20211021,20220425,18374,0.0055,财通基金-财通证券资管智选FOF2020001号单一资产管理计划-财通基金君享悦熙单一资产管理计划,定增股份
002837.SZ,20211021,20220425,390930,0.1169,财通基金-恒泰证券股份有限公司-财通基金恒泰证券定增2号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,781861,0.2339,财通基金-邮储银行-财通基金优盛1号集合资产管理计划,定增股份
002837.SZ,20211021,20220425,195465,0.0585,财通基金-云南国际信托有限公司-财通基金逐鹿1号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,117279,0.0351,财通基金-工商银行-财通基金天禧东源6号集合资产管理计划,定增股份
002837.SZ,20211021,20220425,117279,0.0351,财通基金-光大银行-中国银河证券股份有限公司,定增股份
002837.SZ,20211021,20220425,156372,0.0468,财通基金-江海证券有限公司-财通基金玉泉998号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,312744,0.0936,财通基金-东兴证券股份有限公司-财通基金东兴2号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,586396,0.1754,财通基金-中原证券股份有限公司-财通基金天禧定增66号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,156372,0.0468,财通基金-潘旭虹-财通基金韶夏1号单一资产管理计划,定增股份
002837.SZ,20211021,20220425,114542,0.0343,交通银行股份有限公司-信达澳银星奕混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,91478,0.0274,中国建设银行股份有限公司-信达澳银匠心臻选两年持有期混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,28147,0.0084,招商银行股份有限公司-信达澳银研究优选混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,17983,0.0054,中国银行股份有限公司-信达澳银科技创新一年定期开放混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,28929,0.0087,交通银行股份有限公司-信达澳银核心科技混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,79359,0.0237,中国建设银行股份有限公司-信达澳银先进智造股票型证券投资基金,定增股份
002837.SZ,20211021,20220425,410867,0.1229,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金,定增股份
002837.SZ,20211021,20220425,10555,0.0032,中国建设银行股份有限公司-信达澳银精华灵活配置混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,28147,0.0084,招商银行股份有限公司-信达澳银研究优选混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,17983,0.0054,中国银行股份有限公司-信达澳银科技创新一年定期开放混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,28929,0.0087,交通银行股份有限公司-信达澳银核心科技混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,79359,0.0237,中国建设银行股份有限公司-信达澳银先进智造股票型证券投资基金,定增股份
002837.SZ,20211021,20220425,410867,0.1229,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金,定增股份
002837.SZ,20211021,20220425,10555,0.0032,中国建设银行股份有限公司-信达澳银精华灵活配置混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,39093,0.0117,中国银行-国泰金鹏蓝筹价值混合型证券投资基金,定增股份
002837.SZ,20211021,20220425,39093,0.0117,国泰金色年华股票型养老金产品-中国建设银行股份有限公司,定增股份
002837.SZ,20211021,20220425,78186,0.0234,中国建设银行股份有限公司企业年金计划-中国工商银行股份有限公司,定增股份
002837.SZ,20211021,20220425,78186,0.0234,中国银行股份有限公司企业年金计划-中国农业银行,定增股份
002837.SZ,20211021,20220425,1172791,0.3508,全国社保基金一一一组合,定增股份
002837.SZ,20211021,20220425,273652,0.0819,国泰高分红策略股票型养老金产品-招商银行股份有限公司,定增股份
002837.SZ,20211021,20220425,195465,0.0585,国泰基金-农业银行-国泰蓝筹价值1号集合资产管理计划,定增股份
002837.SZ,20211021,20220425,195465,0.0585,国泰基金-建设银行-国泰安和1号集合资产管理计划,定增股份
002837.SZ,20211021,20220425,195465,0.0585,国泰多策略绝对收益混合型养老金产品-中信银行股份有限公司,定增股份
002837.SZ,20211021,20220425,195465,0.0585,国泰基金-上海银行-国泰优选配置集合资产管理计划,定增股份
002837.SZ,20211021,20220425,781860,0.2339,泰康人寿保险有限责任公司-投连-行业配置,定增股份
002837.SZ,20211021,20220425,781860,0.2339,基本养老保险基金一二零四组合,定增股份
002837.SZ,20211021,20220425,1641907,0.4911,泰康人寿保险有限责任公司-传统-普通保险产品-019L-CT001深,定增股份
002837.SZ,20211021,20220425,781860,0.2339,深圳市优美利投资管理有限公司,定增股份
002837.SZ,20211021,20220425,781860,0.2339,泰康资产管理有限责任公司-泰康人寿保险有限责任公司投连行业配置型投资账户,定增股份
002837.SZ,20211021,20220425,781860,0.2339,泰康资产管理有限责任公司-基本养老保险基金一二零四组合,定增股份
002837.SZ,20211021,20220425,781860,0.2339,众石财富(北京)投资基金管理有限公司,定增股份
