ts_code,ann_date,end_date,holder_num
002837.SZ,20260703,20260703,
002837.SZ,20260703,20260630,268700.0
002837.SZ,20260602,20260602,
002837.SZ,20260602,20260529,221500.0
002837.SZ,20260507,20260507,
002837.SZ,20260507,20260430,180000.0
002837.SZ,20260401,20260401,
002837.SZ,20260421,20260331,210379.0
002837.SZ,20260304,20260304,
002837.SZ,20260304,20260227,159000.0
002837.SZ,20260206,20260206,
002837.SZ,20260206,20260130,162100.0
002837.SZ,20260106,20260106,
002837.SZ,20260421,20251231,148788.0
002837.SZ,20251202,20251202,
002837.SZ,20251202,20251128,134600.0
002837.SZ,20251105,20251105,
002837.SZ,20251105,20251031,157400.0
002837.SZ,20251009,20251009,
002837.SZ,20251014,20250930,164255.0
002837.SZ,20250904,20250904,
002837.SZ,20250904,20250829,152400.0
002837.SZ,20250804,20250804,
002837.SZ,20250804,20250731,63300.0
002837.SZ,20250701,20250701,
002837.SZ,20250819,20250630,71496.0
002837.SZ,20250603,20250603,
002837.SZ,20250603,20250530,74400.0
002837.SZ,20250512,20250512,
002837.SZ,20250512,20250430,71100.0
002837.SZ,20250402,20250402,
002837.SZ,20250422,20250331,66331.0
002837.SZ,20250303,20250303,
002837.SZ,20250303,20250228,55300.0
002837.SZ,20250205,20250205,
002837.SZ,20250205,20250127,44800.0
002837.SZ,20250102,20250102,
002837.SZ,20250422,20241231,50182.0
002837.SZ,20241202,20241202,
002837.SZ,20241202,20241129,37100.0
002837.SZ,20241101,20241101,
002837.SZ,20241101,20241031,40500.0
002837.SZ,20241014,20241014,
002837.SZ,20241025,20240930,28701.0
002837.SZ,20240903,20240903,
002837.SZ,20240903,20240830,33500.0
002837.SZ,20240805,20240805,
002837.SZ,20240805,20240731,31900.0
002837.SZ,20240702,20240702,
002837.SZ,20240813,20240630,31363.0
002837.SZ,20240702,20240628,33200.0
002837.SZ,20240604,20240604,
002837.SZ,20240604,20240531,27800.0
002837.SZ,20240507,20240507,
002837.SZ,20240507,20240430,25500.0
002837.SZ,20240402,20240402,
002837.SZ,20240423,20240331,29627.0
002837.SZ,20240304,20240304,
002837.SZ,20240304,20240229,28400.0
002837.SZ,20240201,20240201,
002837.SZ,20240201,20240131,29700.0
002837.SZ,20240102,20240102,
002837.SZ,20240416,20231231,26673.0
002837.SZ,20240102,20231229,26600.0
002837.SZ,20231205,20231205,
002837.SZ,20231205,20231130,30000.0
002837.SZ,20231102,20231102,
002837.SZ,20231102,20231031,32200.0
002837.SZ,20231009,20231009,
002837.SZ,20231020,20230930,31333.0
002837.SZ,20231009,20230928,31300.0
002837.SZ,20230901,20230831,
002837.SZ,20230801,20230731,
002837.SZ,20230703,20230630,
002837.SZ,20230822,20230630,32931.0
002837.SZ,20230601,20230531,
002837.SZ,20230504,20230428,
002837.SZ,20230401,20230331,
002837.SZ,20230427,20230331,23879.0
002837.SZ,20230301,20230228,
002837.SZ,20230201,20230131,
002837.SZ,20230411,20221231,20972.0
002837.SZ,20230103,20221230,
002837.SZ,20221201,20221130,
002837.SZ,20221101,20221031,
002837.SZ,20221009,20220930,
002837.SZ,20221026,20220930,24348.0
002837.SZ,20220901,20220831,
002837.SZ,20220803,20220729,
002837.SZ,20220809,20220630,
002837.SZ,20220602,20220531,
002837.SZ,20220504,20220429,
002837.SZ,20220402,20220331,
002837.SZ,20220426,20220331,27597.0
002837.SZ,20220303,20220228,
002837.SZ,20220206,20220128,
002837.SZ,20211231,20211231,
002837.SZ,20220426,20211231,23168.0
002837.SZ,20230703,20211201,
002837.SZ,20211202,20211130,
002837.SZ,20211102,20211029,
002837.SZ,20211008,20210930,
002837.SZ,20211026,20210930,18989.0
002837.SZ,20231009,20210930,
002837.SZ,20210903,20210831,
002837.SZ,20210803,20210730,
002837.SZ,20210701,20210630,
002837.SZ,20210803,20210630,24555.0
002837.SZ,20210602,20210531,
002837.SZ,20210506,20210430,
002837.SZ,20210402,20210331,
002837.SZ,20210427,20210331,25045.0
002837.SZ,20210305,20210226,
002837.SZ,20210202,20210129,
002837.SZ,20210105,20201231,
002837.SZ,20210427,20201231,27994.0
002837.SZ,20201027,20200930,30308.0
002837.SZ,20200728,20200630,15409.0
002837.SZ,20200428,20200331,14584.0
002837.SZ,20200428,20191231,16146.0
002837.SZ,20191029,20190930,17588.0
002837.SZ,20190827,20190630,15904.0
002837.SZ,20190429,20190331,17297.0
002837.SZ,20190410,20190329,17297.0
002837.SZ,20190410,20181231,17926.0
002837.SZ,20181030,20180930,18569.0
002837.SZ,20180814,20180630,18087.0
002837.SZ,20180427,20180331,21186.0
002837.SZ,20180206,20180131,20778.0
002837.SZ,20180206,20171231,20956.0
002837.SZ,20171028,20170930,22488.0
002837.SZ,20170811,20170630,23418.0
002837.SZ,20170425,20170331,12551.0
002837.SZ,20170331,20170228,11910.0
002837.SZ,20170425,20161231,36747.0
002837.SZ,20161228,20161229,36772.0
002837.SZ,20161014,20160630,15.0
002837.SZ,20161014,20151231,15.0
002837.SZ,20161014,20141231,15.0
002837.SZ,20141024,20140630,15.0
002837.SZ,20141024,20131231,15.0
002837.SZ,20141024,20121231,13.0
002837.SZ,20141024,20111231,2.0
