ts_code,ann_date,end_date,roe,roe_dt,grossprofit_margin,netprofit_margin,ocfps,debt_to_assets
002837.SZ,20260421,20260331,0.2507,0.1561,24.2935,1.2049,-0.3953,55.1085
002837.SZ,20260421,20251231,16.4085,15.8358,27.8626,8.9437,0.161,55.3038
002837.SZ,20251014,20250930,12.8134,12.3147,27.3199,10.2744,-0.3267,53.9036
002837.SZ,20250819,20250630,7.2767,6.8239,26.1457,8.7788,-0.2414,56.1127
002837.SZ,20250422,20250331,1.6308,1.4199,26.4533,5.8313,-0.2294,52.119
002837.SZ,20250422,20241231,16.7593,15.9098,28.7477,9.8962,0.2685,51.5611
002837.SZ,20241025,20240930,13.3733,12.6702,31.7292,12.2523,0.2104,50.1617
002837.SZ,20241025,20240930,13.3733,12.6702,31.7292,12.2523,0.2104,50.1617
002837.SZ,20240813,20240630,7.2332,6.7532,30.9865,10.7018,-0.0617,47.2182
002837.SZ,20240423,20240331,2.4539,2.1503,29.5065,8.2574,0.0989,47.0949
300731.SZ,20260429,20260331,-0.4848,-0.5666,16.4562,-0.7958,-0.2878,49.2917
300731.SZ,20260429,20251231,5.8351,4.8039,19.2416,4.2821,0.3382,48.7692
300731.SZ,20251029,20250930,4.4276,3.9117,19.1235,3.9287,0.3271,45.3168
300731.SZ,20250825,20250630,2.9056,2.3857,18.845,3.4915,0.1915,46.9437
300731.SZ,20250429,20250331,1.6599,1.2541,17.6909,4.1186,0.0628,45.6121
300731.SZ,20250429,20241231,2.8417,2.0915,20.9425,1.9206,0.1077,46.757
300731.SZ,20241030,20240930,1.7522,2.0662,21.8976,1.4643,0.1694,42.2488
300731.SZ,20240817,20240630,0.4682,0.6587,21.1783,0.5783,-0.0196,39.8084
300731.SZ,20240429,20240331,0.1771,0.0854,25.2275,-0.2573,-0.0383,35.4578
