ts_code,ann_date,end_date,net_profit,c_fr_sale_sg,c_inf_fr_operate_a,n_cashflow_act
002837.SZ,20260421,20260331,,1158888557.08,1184418626.04,-386363968.71
002837.SZ,20260421,20251231,542679980.86,5089358063.61,5234861200.37,157273222.36
002837.SZ,20251014,20250930,,3493079983.51,3567988117.52,-319034472.29
002837.SZ,20250819,20250630,225891956.62,2287775559.78,2338080753.43,-233913848.18
002837.SZ,20250422,20250331,,1121116712.09,1147777802.64,-170771733.08
002837.SZ,20250422,20250331,,1121116712.09,1147777802.64,-170771733.08
002837.SZ,20250422,20241231,454120286.8,3911998140.92,4023004908.48,199835014.95
002837.SZ,20250422,20241231,454120286.8,3911998140.92,4023004908.48,199835014.95
002837.SZ,20241025,20240930,,2783234271.25,2863278126.53,156233696.34
002837.SZ,20241025,20240930,,2783234271.25,2863278126.53,156233696.34
002837.SZ,20240813,20240630,183274959.26,1719280339.85,1766843616.99,-45657141.22
002837.SZ,20240813,20240630,183274959.26,1719280339.85,1766843616.99,-45657141.22
002837.SZ,20240423,20240331,,968011067.74,997495854.22,56269339.69
002837.SZ,20240423,20240331,,968011067.74,997495854.22,56269339.69
002837.SZ,20240416,20231231,348748744.38,2917530847.85,3030616140.16,453072040.34
002837.SZ,20240416,20231231,348748744.38,2917530847.85,3030616140.16,453072040.34
300731.SZ,20260429,20260331,,200521551.96,203246604.46,-36439170.04
300731.SZ,20260429,20260331,,200521551.96,203246604.46,-36439170.04
300731.SZ,20260429,20251231,49539813.81,873996429.14,904070286.98,42753313.69
300731.SZ,20260429,20251231,49539813.81,873996429.14,904070286.98,42753313.69
300731.SZ,20251029,20250930,,678323169.48,695496975.99,41358607.13
300731.SZ,20250825,20250630,18873649.74,439150177.26,451003081.32,24209707.7
300731.SZ,20250429,20250331,,200142313.29,208296108.06,7944521.53
300731.SZ,20250429,20250331,,200142313.29,208296108.06,7944521.53
300731.SZ,20250429,20241231,18401967.43,723630965.88,743546642.43,13616943.72
300731.SZ,20241030,20240930,,517483912.02,533214279.33,21414893.64
300731.SZ,20240817,20240630,2172249.8,306035506.84,314631538.68,-2480155.35
300731.SZ,20240817,20240630,2172249.8,306035506.84,314631538.68,-2480155.35
300731.SZ,20240429,20240331,,147157109.24,150253939.14,-4839240.26
300731.SZ,20240426,20231231,25318767.06,604588124.73,627127021.74,66390283.89
