case_id,code,stage,field,owner_skill,target_stage,message,requested_action
,ASSERTION_FAILED,materialization,assertions.blockers_zero,quality-review,R5_bundle17r_targeted_backflow,"assertion blockers_zero failed in reports/p1_6/r5_bundle17r/chain_a/materialization/R5_bundle16r_materialization_suite.json: actual=126, expected=0",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,materialization,assertions.fully_mapped,quality-review,R5_bundle17r_targeted_backflow,"assertion fully_mapped failed in reports/p1_6/r5_bundle17r/chain_a/materialization/R5_bundle16r_materialization_suite.json: actual=0, expected=4",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,materialization,assertions.packs_materialized,quality-review,R5_bundle17r_targeted_backflow,"assertion packs_materialized failed in reports/p1_6/r5_bundle17r/chain_a/materialization/R5_bundle16r_materialization_suite.json: actual=0, expected=4",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,materialization,assertions.suite_hash_bound,quality-review,R5_bundle17r_targeted_backflow,"assertion suite_hash_bound failed in reports/p1_6/r5_bundle17r/chain_a/materialization/R5_bundle16r_generation_lock.yaml: actual='27a756f5ab652e3c3e5381989c6b7fdec0ff79e8582fe2f4b957601fcf986c09', expected='$artifact_sha256:suite'",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,qualification,assertions.blockers_zero,quality-review,R5_bundle17r_targeted_backflow,"assertion blockers_zero failed in reports/p1_6/r5_bundle17r/chain_a/qualification/R5_bundle15r_qualification_suite.json: actual=4, expected=0",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,qualification,assertions.bundle14_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion bundle14_ready failed in reports/p1_6/r5_bundle17r/chain_a/qualification/R5_bundle15r_qualification_suite.json: actual=0, expected=4",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,qualification,assertions.packs_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion packs_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/R5_bundle15r_qualification_suite.json: actual=0, expected=4",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,qualification,assertions.suite_hash_bound,quality-review,R5_bundle17r_targeted_backflow,"assertion suite_hash_bound failed in reports/p1_6/r5_bundle17r/chain_a/qualification/R5_bundle15r_generation_lock.json: actual='0cba5a54b3b10da677a16b5865fb8cdf5e091fd2909ac72d9f54f0653ee81669', expected='$artifact_sha256:suite'",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,regression,assertions.candidate_ready_count,quality-review,R5_bundle17r_targeted_backflow,"assertion candidate_ready_count failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=0, expected=4",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,regression,assertions.research_ready_count,quality-review,R5_bundle17r_targeted_backflow,"assertion research_ready_count failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=0, expected=4",route the failed upstream gate to its owning stage; do not edit the expected value
,ASSERTION_FAILED,regression,assertions.suite_hash_bound,quality-review,R5_bundle17r_targeted_backflow,"assertion suite_hash_bound failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_generation_lock.json: actual='f4cf616f6640b635e82c49be8b6e13242410512e9af065b50b77710769e39a01', expected='$artifact_sha256:suite'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.qualification_deterministic_rerun,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_deterministic_rerun failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_copper_foil_product_generation.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.qualification_drivers_present,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_drivers_present failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_copper_foil_product_generation.yaml: actual=[], expected='$nonempty'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.qualification_evidence_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_evidence_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_copper_foil_product_generation.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.qualification_forecast_bridge_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_forecast_bridge_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_copper_foil_product_generation.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.qualification_official_sources_present,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_official_sources_present failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_copper_foil_product_generation.yaml: actual=0, expected='$nonempty'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.qualification_overlap_resolved,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_overlap_resolved failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_copper_foil_product_generation.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.qualification_semantic_gate_passed,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_semantic_gate_passed failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_copper_foil_product_generation.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.qualification_valuation_eligible,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_valuation_eligible failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_copper_foil_product_generation.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.quality_case_id,quality-review,R5_bundle17r_targeted_backflow,"assertion quality_case_id failed in reports/workflow_runs/wf_20260715_stock_first_301217_tongguan_copper_foil/bundle16r/generated/quality_readout.json: actual='301217_high_end_copper_foil', expected='$case_id'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.regression_candidate_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion regression_candidate_ready failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_FAILED,case_activation,assertions.regression_research_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion regression_research_ready failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_copper_foil_product_generation,ASSERTION_POINTER_UNRESOLVED,case_activation,assertions.generation_id_present.pointer,quality-review,R5_bundle17r_targeted_backflow,cannot resolve pointer '/generation_id' in reports/workflow_runs/wf_20260715_stock_first_301217_tongguan_copper_foil/bundle16r/generated/generation_lock.json: '/generation_id',bind the assertion to the exact field emitted by the upstream artifact
golden_copper_foil_product_generation,ASSERTION_POINTER_UNRESOLVED,case_activation,assertions.quality_gate_pass.pointer,quality-review,R5_bundle17r_targeted_backflow,cannot resolve pointer '/candidate_ready_for_exact_hash_review' in reports/workflow_runs/wf_20260715_stock_first_301217_tongguan_copper_foil/bundle16r/generated/quality_readout.json: '/candidate_ready_for_exact_hash_review',bind the assertion to the exact field emitted by the upstream artifact
