capability_id,upstream_layer,upstream_source,adoption_decision,priority,required_for_bundle8r_close,claim_boundary,current_implementation_status,target_adapter,resolution_type
market_tdx_bars,1,mootdx,adopt_core,P0,True,metric_only,approved_independent_alternative,mootdx_adapter,independent_alternative
market_tdx_orderbook_ticks,1,mootdx,adapt_clue_only,P2,False,market_context_only,routed_only,mootdx_adapter,
market_tencent_quote_valuation,1,tencent_finance,adopt_core,P0,True,metric_only,operational_verified,tencent_quote_adapter,direct_operational
market_baidu_kline_ma,1,baidu_finance,adopt_enhancement,P1,False,metric_only,routed_disabled,baidu_kline_adapter,
research_stock_reports,2,eastmoney_push2,adopt_core,P0,True,analyst_view_only,operational_verified,eastmoney_report_adapter,direct_operational
research_report_pdf_download,2,eastmoney_push2,adopt_core,P0,True,analyst_view_only,operational_verified,eastmoney_report_pdf_adapter,direct_operational
research_industry_reports,2,eastmoney_push2,adopt_core,P0,True,analyst_view_only,operational_verified,eastmoney_industry_report_adapter,direct_operational
research_ths_consensus_eps,2,ths,adopt_core,P0,True,estimate_only,operational_verified,ths_consensus_adapter,direct_operational
research_iwencai_semantic_search,2,iwencai,adopt_enhancement,P2,False,clue_only,missing,iwencai_adapter,
signal_ths_hot_reason,3,ths,adapt_clue_only,P2,False,clue_only,missing,ths_market_signal_adapter,
signal_northbound_intraday,3,ths,adapt_clue_only,P2,False,clue_only,missing,ths_market_signal_adapter,
signal_concept_membership,3,eastmoney_push2,adopt_enhancement,P1,False,classification_context,missing,eastmoney_basic_adapter,
signal_fund_flow_intraday,3,eastmoney_push2,adapt_clue_only,P2,False,clue_only,routed_only,eastmoney_capital_adapter,
signal_dragon_tiger_stock,3,eastmoney_push2,adopt_enhancement,P2,False,market_context_only,missing,eastmoney_capital_adapter,
signal_lockup_calendar,3,eastmoney_push2,adopt_core,P0,True,event_metric_only,operational_verified,eastmoney_capital_adapter,direct_operational
signal_industry_ranking,3,eastmoney_push2,adopt_enhancement,P1,False,market_context_only,missing,eastmoney_market_context_adapter,
signal_dragon_tiger_market,3,eastmoney_push2,adapt_clue_only,P2,False,clue_only,missing,eastmoney_capital_adapter,
capital_margin_trading,4,eastmoney_push2,adopt_enhancement,P1,False,metric_only,missing,eastmoney_capital_adapter,
capital_block_trades,4,eastmoney_push2,adopt_enhancement,P1,False,market_context_only,missing,eastmoney_capital_adapter,
capital_holder_count,4,eastmoney_push2,adopt_core,P0,True,metric_only_with_official_reconciliation,operational_verified,eastmoney_capital_adapter,direct_operational
capital_dividend_history,4,eastmoney_push2,adopt_core,P0,True,metric_only_with_official_reconciliation,operational_verified,eastmoney_capital_adapter,direct_operational
capital_fund_flow_120d,4,eastmoney_push2,adapt_clue_only,P2,False,clue_only,missing,eastmoney_capital_adapter,
news_stock,5,eastmoney_push2,adopt_enhancement,P1,False,clue_only,missing,eastmoney_news_adapter,
news_cls_telegraph,5,cls_market,adopt_enhancement,P1,False,clue_only,routed_disabled,cls_telegraph_adapter,
news_global,5,eastmoney_push2,adapt_clue_only,P2,False,clue_only,missing,eastmoney_news_adapter,
fundamental_tdx_finance_snapshot,6,mootdx,adopt_enhancement,P1,False,metric_only,alternative_source_operational,mootdx_adapter,
fundamental_tdx_f10,6,mootdx,adopt_enhancement,P1,False,clue_only_unless_official_archived,routed_only,mootdx_adapter,
fundamental_eastmoney_stock_info,6,eastmoney_push2,adopt_core,P0,True,metric_only,approved_independent_alternative,eastmoney_basic_adapter,independent_alternative
fundamental_sina_financial_statements,6,sina_finance,adopt_core,P0,True,metric_only,operational_verified,sina_financial_adapter,direct_operational
disclosure_cninfo_announcements,7,cninfo,adopt_core,P0,True,material_fact_after_review,operational_verified,official_disclosure_pull,direct_operational
disclosure_tdx_announcement_summary,7,mootdx,adapt_clue_only,P2,False,clue_only,routed_only,mootdx_adapter,
trading_limit_up_yesterday_pools,8,eastmoney_push2,defer_out_of_scope,P3,False,trading_signal_only,out_of_scope,,
trading_break_limit_down_pools,8,eastmoney_push2,defer_out_of_scope,P3,False,trading_signal_only,out_of_scope,,
trading_ths_limit_reason,8,ths,defer_out_of_scope,P3,False,trading_signal_only,out_of_scope,,
trading_limit_sentiment,8,eastmoney_push2,defer_out_of_scope,P3,False,trading_signal_only,out_of_scope,,
options_contract_list,9,sina_finance,defer_out_of_scope,P3,False,derivatives_market_only,out_of_scope,,
options_quote_greeks,9,sina_finance,defer_out_of_scope,P3,False,derivatives_market_only,out_of_scope,,
ir_cninfo_irm,10,cninfo_ir,adopt_core,P0,True,management_comment_only,operational_verified,cninfo_irm_adapter,direct_operational
sentiment_rankings,10,ths+eastmoney,adapt_clue_only,P2,False,clue_only,missing,market_sentiment_adapter,
sentiment_concept_heat,10,eastmoney_push2,adapt_clue_only,P2,False,clue_only,missing,market_sentiment_adapter,
fallback_dragon_tiger_exchange,fallback,sse+szse,adopt_enhancement,P1,False,market_context_only,missing,exchange_fallback_adapter,
fallback_fund_flow_sina,fallback,sina_finance,adopt_enhancement,P1,False,clue_only,missing,sina_fund_flow_adapter,
fallback_announcements_exchange,fallback,sse+szse+eastmoney,adopt_core,P0,True,material_fact_after_review,operational_verified,exchange_fallback_adapter,direct_operational
