metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_income_002837_20251231_total_revenue_a5f88b86,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_revenue,income,20251231,unknown,3520000000,CNY,,3520000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20251231_revenue_ee4b14a4,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,revenue,income,20251231,unknown,3520000000,CNY,,3520000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20251231_operate_profit_f5a00aa0,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20251231,unknown,515000000,CNY,,515000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20251231_total_profit_be69076d,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_profit,income,20251231,unknown,520000000,CNY,,520000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20251231_n_income_5405ec3a,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20251231,unknown,455000000,CNY,,455000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20251231_n_income_attr_p_f804a8eb,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20251231,unknown,450000000,CNY,,450000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20251231_basic_eps_a2208e3d,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,basic_eps,income,20251231,unknown,0.62,CNY,,0.62,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20241231_total_revenue_be997dae,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_revenue,income,20241231,unknown,2980000000,CNY,,2980000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20241231_revenue_0e20629c,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,revenue,income,20241231,unknown,2980000000,CNY,,2980000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20241231_operate_profit_11026572,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20241231,unknown,390000000,CNY,,390000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20241231_total_profit_82f231a9,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_profit,income,20241231,unknown,395000000,CNY,,395000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20241231_n_income_9cd9abfe,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20241231,unknown,330000000,CNY,,330000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20241231_n_income_attr_p_5c00dfb5,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20241231,unknown,328000000,CNY,,328000000,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_income_002837_20241231_basic_eps_27b2a91e,ev_structured_financial_data_002837_20260701_1b506c,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,basic_eps,income,20241231,unknown,0.46,CNY,,0.46,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence.
metric_daily_basic_002837_20260701_close_1254f76c,ev_structured_market_data_002837_20260701_daa823,tushare,structured_market_data,company,cn_002837_invic,,cn_002837_invic,002837,close,daily_basic,20260701,unknown,32.50,CNY,,32.50,CNY,tushare_daily_basic,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:44Z,Metric-only candidate generated from structured snapshot; api_params_hash=daa823de68d9ebf49ad71d55601f5237d8cf3333c6c919b650b85ba0673405cd; not business exposure evidence.
metric_daily_basic_002837_20260701_total_mv_7ab289b0,ev_structured_market_data_002837_20260701_daa823,tushare,structured_market_data,company,cn_002837_invic,,cn_002837_invic,002837,total_mv,daily_basic,20260701,unknown,2418000,CNY,,2418000,CNY,tushare_daily_basic,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:44Z,Metric-only candidate generated from structured snapshot; api_params_hash=daa823de68d9ebf49ad71d55601f5237d8cf3333c6c919b650b85ba0673405cd; not business exposure evidence.
metric_daily_basic_002837_20260701_circ_mv_7498dc3d,ev_structured_market_data_002837_20260701_daa823,tushare,structured_market_data,company,cn_002837_invic,,cn_002837_invic,002837,circ_mv,daily_basic,20260701,unknown,2106000,CNY,,2106000,CNY,tushare_daily_basic,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:44Z,Metric-only candidate generated from structured snapshot; api_params_hash=daa823de68d9ebf49ad71d55601f5237d8cf3333c6c919b650b85ba0673405cd; not business exposure evidence.
metric_daily_basic_002837_20260701_pe_ttm_a3d91445,ev_structured_market_data_002837_20260701_daa823,tushare,structured_market_data,company,cn_002837_invic,,cn_002837_invic,002837,pe_ttm,daily_basic,20260701,unknown,38.2,CNY,,38.2,CNY,tushare_daily_basic,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:44Z,Metric-only candidate generated from structured snapshot; api_params_hash=daa823de68d9ebf49ad71d55601f5237d8cf3333c6c919b650b85ba0673405cd; not business exposure evidence.
metric_daily_basic_002837_20260701_pb_6cab1730,ev_structured_market_data_002837_20260701_daa823,tushare,structured_market_data,company,cn_002837_invic,,cn_002837_invic,002837,pb,daily_basic,20260701,unknown,4.1,CNY,,4.1,CNY,tushare_daily_basic,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-03T06:15:44Z,Metric-only candidate generated from structured snapshot; api_params_hash=daa823de68d9ebf49ad71d55601f5237d8cf3333c6c919b650b85ba0673405cd; not business exposure evidence.
