event_date,event_type,event_status,source_name,evidence_id,source_as_of_date,details,value,unit
2026-06-01,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,1.7,source_reported_dividend_unit
2025-05-30,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,2,source_reported_dividend_unit
2024-05-27,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,2,source_reported_dividend_unit
2023-05-19,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,1.9,source_reported_dividend_unit
2022-05-31,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,1.8,source_reported_dividend_unit
2022-04-25,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,定向增发机构配售股份,27200.612,shares
2021-06-08,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,定向增发机构配售股份,25284.5284,shares
2021-05-27,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,1.8,source_reported_dividend_unit
2021-01-12,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,股权激励限售股份,23643.5087,shares
2020-06-08,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,定向增发机构配售股份,23614.5671,shares
2020-05-29,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,2.3,source_reported_dividend_unit
2020-05-18,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,股权激励限售股份,15416.4407,shares
2019-12-30,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,"首发原股东限售股份,股权激励限售股份",20359.3742,shares
2019-06-10,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,"定向增发机构配售股份,股权激励限售股份",7382.0869,shares
2019-05-17,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,1.5,source_reported_dividend_unit
2019-01-25,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,股权激励限售股份,6846.678,shares
2018-05-18,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,股权激励限售股份,6837.6711,shares
2018-03-16,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,0.6,source_reported_dividend_unit
2017-12-29,lockup,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_41b285,2026-07-13,首发原股东限售股份,6736.2028,shares
2017-06-01,dividend,historical,eastmoney_push2,ev_structured_market_data_002837_20260713_0555c0,2026-07-13,实施分配,2.923549,source_reported_dividend_unit
