metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_stock_basic_002837_UNKNOWN_list_date_b6a0df2f,ev_structured_financial_data_002837_20260701_f82181,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,list_date,stock_basic,UNKNOWN,unknown,20161229,CNY,,20161229,CNY,local_tushare_fixture_stock_basic,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:17Z,Metric-only candidate generated from structured snapshot; api_params_hash=f821810b5e0ecdbddcb00f6111439b2808866f4089cc10a75eb47efbae5cbe61; not business exposure evidence.
metric_income_002837_20260331_total_revenue_f39e1571,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_revenue,income,20260331,unknown,1175329313.61,CNY,,1175329313.61,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20260331_revenue_bf45a9c7,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,revenue,income,20260331,unknown,1175329313.61,CNY,,1175329313.61,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20260331_operate_profit_35696a7c,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20260331,unknown,6334488.35,CNY,,6334488.35,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20260331_total_profit_08d5ed25,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_profit,income,20260331,unknown,6893272.5,CNY,,6893272.5,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20260331_n_income_bf1110e3,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20260331,unknown,14161062.09,CNY,,14161062.09,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20260331_n_income_attr_p_abdcb81f,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20260331,unknown,8657602.27,CNY,,8657602.27,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20260331_basic_eps_0a84fbdf,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,basic_eps,income,20260331,unknown,0.01,CNY,,0.01,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20260331_diluted_eps_a675bec4,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20260331,unknown,0.01,CNY,,0.01,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20251231_total_revenue_39fd77f5,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_revenue,income,20251231,unknown,6067759091.55,CNY,,6067759091.55,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20251231_revenue_201f506b,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,revenue,income,20251231,unknown,6067759091.55,CNY,,6067759091.55,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
