"ts_code","ann_date","end_date","roe","roe_dt","grossprofit_margin","netprofit_margin","ocfps","debt_to_assets"
"002837.SZ","20260421","20260331","0.2507","0.1561","24.2935","1.2049","-0.3953","55.1085"
"002837.SZ","20260421","20251231","16.4085","15.8358","27.8626","8.9437","0.161","55.3038"
"002837.SZ","20251014","20250930","12.8134","12.3147","27.3199","10.2744","-0.3267","53.9036"
"002837.SZ","20250819","20250630","7.2767","6.8239","26.1457","8.7788","-0.2414","56.1127"
"002837.SZ","20250422","20250331","1.6308","1.4199","26.4533","5.8313","-0.2294","52.119"
"002837.SZ","20250422","20241231","16.7593","15.9098","28.7477","9.8962","0.2685","51.5611"
"002837.SZ","20241025","20240930","13.3733","12.6702","31.7292","12.2523","0.2104","50.1617"
"002837.SZ","20241025","20240930","13.3733","12.6702","31.7292","12.2523","0.2104","50.1617"
"002837.SZ","20240813","20240630","7.2332","6.7532","30.9865","10.7018","-0.0617","47.2182"
"002837.SZ","20240423","20240331","2.4539","2.1503","29.5065","8.2574","0.0989","47.0949"
