candidate_id,result,issues,created_at
metric_stock_basic_002837_UNKNOWN_list_date_b6a0df2f,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20260331_total_revenue_f39e1571,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20260331_revenue_bf45a9c7,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20260331_operate_profit_35696a7c,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20260331_total_profit_08d5ed25,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20260331_n_income_bf1110e3,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20260331_n_income_attr_p_abdcb81f,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20260331_basic_eps_0a84fbdf,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20260331_diluted_eps_a675bec4,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20251231_total_revenue_39fd77f5,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20251231_revenue_201f506b,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20251231_operate_profit_f8475834,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20251231_total_profit_44ea9634,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20251231_n_income_ee1a8032,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20251231_n_income_attr_p_c027b560,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20251231_basic_eps_6368317c,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20251231_diluted_eps_30d3167f,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250930_total_revenue_47824fae,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250930_revenue_15eb50b3,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250930_operate_profit_6d443a87,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250930_total_profit_16ec74cf,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250930_n_income_9855f081,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250930_n_income_attr_p_8b50d9f1,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250930_basic_eps_32e531d4,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250930_diluted_eps_31001917,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250630_total_revenue_82825214,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250630_revenue_8d4106a5,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250630_operate_profit_c0913d70,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250630_total_profit_b2b0393e,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250630_n_income_a5417b91,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250630_n_income_attr_p_c4836f78,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250630_basic_eps_c757be1e,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250630_diluted_eps_10718fd1,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250331_total_revenue_d374cc44,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250331_revenue_80b455fa,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250331_operate_profit_c1caba2a,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250331_total_profit_a7d0a897,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250331_n_income_d7f92505,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250331_n_income_attr_p_641b712f,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250331_basic_eps_955b000c,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20250331_diluted_eps_058fe84d,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20241231_total_revenue_03a2e6b4,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20241231_revenue_85504894,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20241231_operate_profit_52277e0f,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20241231_total_profit_80430e4a,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20241231_n_income_2ff21c57,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20241231_n_income_attr_p_3e84928b,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20241231_basic_eps_15203b56,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20241231_diluted_eps_eec39735,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240930_total_revenue_71120a6a,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240930_revenue_ad8ecf00,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240930_operate_profit_19c793c1,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240930_total_profit_c9095fa6,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240930_n_income_a9281354,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240930_n_income_attr_p_23cd75a1,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240930_basic_eps_ed723d5a,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240930_diluted_eps_265d91ae,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240630_total_revenue_fe346837,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240630_revenue_197484f5,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240630_operate_profit_4330bbce,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240630_total_profit_f967ac33,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240630_n_income_026eb974,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240630_n_income_attr_p_a5730e8d,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240630_basic_eps_3401483b,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240630_diluted_eps_68e46931,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240331_total_revenue_b3ecd983,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240331_revenue_3c76bf61,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240331_operate_profit_86684f13,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240331_total_profit_d7aba7aa,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240331_n_income_ab8ffde0,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240331_n_income_attr_p_48209d8d,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240331_basic_eps_6ce030b6,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20240331_diluted_eps_70d5574f,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20231231_total_revenue_7031dcb0,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20231231_revenue_863e2088,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20231231_operate_profit_ce8d3281,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20231231_total_profit_649c1bf8,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20231231_n_income_353f6685,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20231231_n_income_attr_p_1aabac67,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20231231_basic_eps_68dd07fe,promoted,,2026-07-02T18:31:10Z
metric_income_002837_20231231_diluted_eps_342b2145,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20260331_total_assets_5004e393,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20260331_total_liab_dfb24aae,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20260331_total_hldr_eqy_exc_min_int_eef05a94,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20260331_inventories_257cfb52,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20260331_accounts_receiv_a9c49f95,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20251231_total_assets_0860a5c3,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20251231_total_liab_c490a7b6,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20251231_total_hldr_eqy_exc_min_int_dbfc38ad,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20251231_inventories_a735b22c,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20251231_accounts_receiv_0fa1f676,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250930_total_assets_16373787,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250930_total_liab_22779d33,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250930_total_hldr_eqy_exc_min_int_1c2f6f93,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250930_inventories_89072b4b,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250930_accounts_receiv_981cda1d,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250630_total_assets_093b3758,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250630_total_liab_ec6f7394,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250630_total_hldr_eqy_exc_min_int_3afb1b4a,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250630_inventories_1aa65f12,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250630_accounts_receiv_03021e95,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_total_assets_daf11182,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_total_liab_839ee984,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_total_hldr_eqy_exc_min_int_9c9298fb,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_inventories_8585c855,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_accounts_receiv_72ad3f69,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_total_assets_44a8de0e,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_total_liab_ce0954e2,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_total_hldr_eqy_exc_min_int_3ee6d703,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_inventories_f76af1f2,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20250331_accounts_receiv_a2555ac4,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20241231_total_assets_c8edc297,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20241231_total_liab_ba2b81f7,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20241231_total_hldr_eqy_exc_min_int_3129b97e,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20241231_inventories_46a55eff,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20241231_accounts_receiv_5fee4676,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240930_total_assets_ece30058,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240930_total_liab_25d7d7ee,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240930_total_hldr_eqy_exc_min_int_dd649796,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240930_inventories_ddabedba,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240930_accounts_receiv_03805fd0,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240630_total_assets_dbd8812f,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240630_total_liab_107cc6ee,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240630_total_hldr_eqy_exc_min_int_0e19ef26,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240630_inventories_e9dccb72,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240630_accounts_receiv_e816902c,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240331_total_assets_02ea1278,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240331_total_liab_68e3446b,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240331_total_hldr_eqy_exc_min_int_5a77ca76,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240331_inventories_80572d7f,promoted,,2026-07-02T18:31:10Z
metric_balancesheet_002837_20240331_accounts_receiv_894cc84b,promoted,,2026-07-02T18:31:10Z
