metric_id,entity_type,entity_id,metric_name,period,value,unit,source_evidence_id,calculation_method,is_estimate,confidence,created_at,status,review_status,notes
metric_cn_002837_invic_list_date_unknown_ffc7f4,company,cn_002837_invic,list_date,UNKNOWN,20161229,CNY,ev_structured_financial_data_002837_20260701_f82181,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:17Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=f821810b5e0ecdbddcb00f6111439b2808866f4089cc10a75eb47efbae5cbe61; not business exposure evidence.; promoted_from=metric_stock_basic_002837_UNKNOWN_list_date_b6a0df2f
metric_cn_002837_invic_total_revenue_20260331_d1f448,company,cn_002837_invic,total_revenue,20260331,1175329313.61,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20260331_total_revenue_f39e1571
metric_cn_002837_invic_revenue_20260331_4f7f22,company,cn_002837_invic,revenue,20260331,1175329313.61,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20260331_revenue_bf45a9c7
metric_cn_002837_invic_operate_profit_20260331_04da98,company,cn_002837_invic,operate_profit,20260331,6334488.35,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20260331_operate_profit_35696a7c
metric_cn_002837_invic_total_profit_20260331_3c4ba8,company,cn_002837_invic,total_profit,20260331,6893272.5,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20260331_total_profit_08d5ed25
metric_cn_002837_invic_n_income_20260331_44819e,company,cn_002837_invic,n_income,20260331,14161062.09,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20260331_n_income_bf1110e3
metric_cn_002837_invic_n_income_attr_p_20260331_530e7b,company,cn_002837_invic,n_income_attr_p,20260331,8657602.27,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20260331_n_income_attr_p_abdcb81f
metric_cn_002837_invic_basic_eps_20260331_16e329,company,cn_002837_invic,basic_eps,20260331,0.01,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20260331_basic_eps_0a84fbdf
metric_cn_002837_invic_diluted_eps_20260331_e2e70f,company,cn_002837_invic,diluted_eps,20260331,0.01,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20260331_diluted_eps_a675bec4
metric_cn_002837_invic_total_revenue_20251231_4cc1de,company,cn_002837_invic,total_revenue,20251231,6067759091.55,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20251231_total_revenue_39fd77f5
metric_cn_002837_invic_revenue_20251231_9c5aaf,company,cn_002837_invic,revenue,20251231,6067759091.55,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20251231_revenue_201f506b
